snapshot,year,quarter,level,dictionarySignature,shops,categoryCode,category,denominatorShops,sharePct,districtCode,district,lawDongCode,lawDong
20200331,2020,1,lawDong,62f6a938f48b,2128,G2,소매,6562,32.42913745809204,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,172,I1,숙박,6562,2.6211520877781163,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,2265,I2,음식,6562,34.51691557451996,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,198,L1,부동산,6562,3.0173727522096923,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,433,M1,과학·기술,6562,6.598597988418165,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,195,N1,시설관리·임대,6562,2.971654983236818,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,154,P1,교육,6562,2.3468454739408715,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,249,Q1,보건의료,6562,3.794574824748553,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,199,R1,예술·스포츠,6562,3.032612008533984,26230,부산진구,2623010300,부전동
20200331,2020,1,lawDong,62f6a938f48b,569,S2,수리·개인,6562,8.671136848521792,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,2149,G2,소매,6590,32.61001517450683,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,176,I1,숙박,6590,2.670713201820941,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,2261,I2,음식,6590,34.30955993930197,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,200,L1,부동산,6590,3.0349013657056148,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,437,M1,과학·기술,6590,6.631259484066768,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,191,N1,시설관리·임대,6590,2.898330804248862,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,159,P1,교육,6590,2.412746585735964,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,253,Q1,보건의료,6590,3.8391502276176026,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,193,R1,예술·스포츠,6590,2.928679817905918,26230,부산진구,2623010300,부전동
20200630,2020,2,lawDong,62f6a938f48b,571,S2,수리·개인,6590,8.66464339908953,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,2175,G2,소매,6655,32.682193839218634,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,170,I1,숙박,6655,2.5544703230653645,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,2270,I2,음식,6655,34.10969196093163,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,202,L1,부동산,6655,3.0353117956423743,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,451,M1,과학·기술,6655,6.776859504132231,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,191,N1,시설관리·임대,6655,2.870022539444027,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,163,P1,교육,6655,2.4492862509391435,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,259,Q1,보건의료,6655,3.891810668670173,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,193,R1,예술·스포츠,6655,2.90007513148009,26230,부산진구,2623010300,부전동
20200930,2020,3,lawDong,62f6a938f48b,581,S2,수리·개인,6655,8.730277986476334,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,2165,G2,소매,6655,32.53193087903832,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,175,I1,숙박,6655,2.629601803155522,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,2262,I2,음식,6655,33.98948159278738,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,202,L1,부동산,6655,3.0353117956423743,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,458,M1,과학·기술,6655,6.882043576258452,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,191,N1,시설관리·임대,6655,2.870022539444027,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,166,P1,교육,6655,2.494365138993238,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,265,Q1,보건의료,6655,3.9819684447783614,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,191,R1,예술·스포츠,6655,2.870022539444027,26230,부산진구,2623010300,부전동
20201231,2020,4,lawDong,62f6a938f48b,580,S2,수리·개인,6655,8.715251690458302,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,2195,G2,소매,6752,32.50888625592417,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,180,I1,숙박,6752,2.6658767772511847,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,2288,I2,음식,6752,33.88625592417062,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,202,L1,부동산,6752,2.991706161137441,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,473,M1,과학·기술,6752,7.005331753554502,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,195,N1,시설관리·임대,6752,2.8880331753554502,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,170,P1,교육,6752,2.5177725118483414,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,274,Q1,보건의료,6752,4.058056872037914,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,187,R1,예술·스포츠,6752,2.769549763033176,26230,부산진구,2623010300,부전동
20210331,2021,1,lawDong,62f6a938f48b,588,S2,수리·개인,6752,8.708530805687204,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,2190,G2,소매,6775,32.32472324723247,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,182,I1,숙박,6775,2.6863468634686347,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,2279,I2,음식,6775,33.638376383763834,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,209,L1,부동산,6775,3.084870848708487,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,480,M1,과학·기술,6775,7.084870848708487,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,190,N1,시설관리·임대,6775,2.804428044280443,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,178,P1,교육,6775,2.6273062730627306,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,286,Q1,보건의료,6775,4.22140221402214,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,186,R1,예술·스포츠,6775,2.745387453874539,26230,부산진구,2623010300,부전동
20210630,2021,2,lawDong,62f6a938f48b,595,S2,수리·개인,6775,8.782287822878228,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,2206,G2,소매,6826,32.31760914151773,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,185,I1,숙박,6826,2.7102256079695284,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,2290,I2,음식,6826,33.5481980662174,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,205,L1,부동산,6826,3.003222970993261,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,492,M1,과학·기술,6826,7.207735130383827,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,192,N1,시설관리·임대,6826,2.8127746850278346,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,184,P1,교육,6826,2.695575739818341,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,284,Q1,보건의료,6826,4.160562554937005,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,183,R1,예술·스포츠,6826,2.680925871667155,26230,부산진구,2623010300,부전동
20210930,2021,3,lawDong,62f6a938f48b,605,S2,수리·개인,6826,8.863170231467917,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,2183,G2,소매,6846,31.88723342097576,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,182,I1,숙박,6846,2.658486707566462,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,2309,I2,음식,6846,33.727724218521764,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,204,L1,부동산,6846,2.9798422436459244,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,499,M1,과학·기술,6846,7.28892784107508,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,193,N1,시설관리·임대,6846,2.8191644756061933,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,191,P1,교육,6846,2.789950335962606,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,289,Q1,보건의료,6846,4.221443178498393,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,182,R1,예술·스포츠,6846,2.658486707566462,26230,부산진구,2623010300,부전동
20211231,2021,4,lawDong,62f6a938f48b,614,S2,수리·개인,6846,8.968740870581362,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,2209,G2,소매,6940,31.8299711815562,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,181,I1,숙박,6940,2.608069164265129,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,2324,I2,음식,6940,33.487031700288185,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,211,L1,부동산,6940,3.040345821325648,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,507,M1,과학·기술,6940,7.305475504322766,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,195,N1,시설관리·임대,6940,2.809798270893372,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,204,P1,교육,6940,2.9394812680115274,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,296,Q1,보건의료,6940,4.265129682997118,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,188,R1,예술·스포츠,6940,2.7089337175792507,26230,부산진구,2623010300,부전동
20220331,2022,1,lawDong,62f6a938f48b,625,S2,수리·개인,6940,9.005763688760807,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,2205,G2,소매,6967,31.649203387397733,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,183,I1,숙박,6967,2.626668580450696,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,2325,I2,음식,6967,33.37160901392278,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,217,L1,부동산,6967,3.114683507966126,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,514,M1,과학·기술,6967,7.377637433615616,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,197,N1,시설관리·임대,6967,2.827615903545285,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,210,P1,교육,6967,3.014209846418832,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,297,Q1,보건의료,6967,4.262953925649491,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,188,R1,예술·스포츠,6967,2.698435481555906,26230,부산진구,2623010300,부전동
20220630,2022,2,lawDong,62f6a938f48b,631,S2,수리·개인,6967,9.056982919477536,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,2217,G2,소매,7005,31.64882226980728,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,186,I1,숙박,7005,2.65524625267666,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,2322,I2,음식,7005,33.147751605995715,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,212,L1,부동산,7005,3.0264097073518914,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,523,M1,과학·기술,7005,7.466095645967166,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,201,N1,시설관리·임대,7005,2.8693790149892933,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,214,P1,교육,7005,3.054960742326909,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,298,Q1,보건의료,7005,4.254104211277659,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,189,R1,예술·스포츠,7005,2.6980728051391862,26230,부산진구,2623010300,부전동
20220930,2022,3,lawDong,62f6a938f48b,643,S2,수리·개인,7005,9.179157744468236,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,2195,G2,소매,6979,31.45149734919043,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,183,I1,숙박,6979,2.622152170798109,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,2305,I2,음식,6979,33.027654391746665,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,211,L1,부동산,6979,3.023355781630606,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,523,M1,과학·기술,6979,7.493910302335578,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,212,N1,시설관리·임대,6979,3.037684482017481,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,212,P1,교육,6979,3.037684482017481,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,300,Q1,보건의료,6979,4.2986101160624735,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,188,R1,예술·스포츠,6979,2.693795672732483,26230,부산진구,2623010300,부전동
20221231,2022,4,lawDong,62f6a938f48b,650,S2,수리·개인,6979,9.313655251468692,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,2118,G2,소매,6652,31.84004810583283,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,156,I1,숙박,6652,2.3451593505712567,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,2177,I2,음식,6652,32.72699939867709,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,221,L1,부동산,6652,3.322309079975947,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,522,M1,과학·기술,6652,7.847263980757667,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,201,N1,시설관리·임대,6652,3.021647624774504,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,185,P1,교육,6652,2.781118460613349,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,265,Q1,보건의료,6652,3.983764281419122,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,174,R1,예술·스포츠,6652,2.615754660252556,26230,부산진구,2623010300,부전동
20230331,2023,1,lawDong,62f6a938f48b,633,S2,수리·개인,6652,9.515935057125676,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,2118,G2,소매,6728,31.48038049940547,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,158,I1,숙박,6728,2.3483947681331747,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,2254,I2,음식,6728,33.501783590963136,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,218,L1,부동산,6728,3.240190249702735,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,525,M1,과학·기술,6728,7.803210463733651,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,201,N1,시설관리·임대,6728,2.987514863258026,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,190,P1,교육,6728,2.8240190249702737,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,273,Q1,보건의료,6728,4.057669441141498,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,172,R1,예술·스포츠,6728,2.5564803804994054,26230,부산진구,2623010300,부전동
20230630,2023,2,lawDong,62f6a938f48b,619,S2,수리·개인,6728,9.200356718192628,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,2091,G2,소매,6627,31.55273879583521,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,157,I1,숙박,6627,2.3690961219254563,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,2212,I2,음식,6627,33.37860268598159,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,212,L1,부동산,6627,3.1990342538101704,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,519,M1,과학·기술,6627,7.831598008148483,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,200,N1,시설관리·임대,6627,3.017956843217142,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,190,P1,교육,6627,2.867059001056285,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,271,Q1,보건의료,6627,4.089331522559228,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,166,R1,예술·스포츠,6627,2.504904179870228,26230,부산진구,2623010300,부전동
20230930,2023,3,lawDong,62f6a938f48b,609,S2,수리·개인,6627,9.189678587596198,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,2100,G2,소매,6667,31.498425078746063,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,161,I1,숙박,6667,2.414879256037198,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,2215,I2,음식,6667,33.22333883305835,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,217,L1,부동산,6667,3.254837258137093,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,525,M1,과학·기술,6667,7.874606269686516,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,204,N1,시설관리·임대,6667,3.0598470076496174,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,191,P1,교육,6667,2.864856757162142,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,275,Q1,보건의료,6667,4.124793760311984,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,163,R1,예술·스포츠,6667,2.4448777561121946,26230,부산진구,2623010300,부전동
20231231,2023,4,lawDong,62f6a938f48b,616,S2,수리·개인,6667,9.239538023098843,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,2040,G2,소매,6543,31.17835855112334,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,159,I1,숙박,6543,2.430077945896378,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,2157,I2,음식,6543,32.966529115084825,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,220,L1,부동산,6543,3.3623720006113405,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,526,M1,과학·기술,6543,8.039125783279841,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,205,N1,시설관리·임대,6543,3.1331193642060216,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,190,P1,교육,6543,2.903866727800703,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,273,Q1,보건의료,6543,4.1723979825768,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,160,R1,예술·스포츠,6543,2.4453614549900657,26230,부산진구,2623010300,부전동
20240331,2024,1,lawDong,62f6a938f48b,613,S2,수리·개인,6543,9.368791074430687,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,1987,G2,소매,6403,31.03232859597064,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,158,I1,숙박,6403,2.4675933156332968,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,2122,I2,음식,6403,33.14071528970795,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,211,L1,부동산,6403,3.295330313915352,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,522,M1,과학·기술,6403,8.152428549117602,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,202,N1,시설관리·임대,6403,3.1547712009995315,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,184,P1,교육,6403,2.87365297516789,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,271,Q1,보건의료,6403,4.23239106668749,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,156,R1,예술·스포츠,6403,2.436357957207559,26230,부산진구,2623010300,부전동
20240630,2024,2,lawDong,62f6a938f48b,590,S2,수리·개인,6403,9.21443073559269,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,1949,G2,소매,6216,31.354568854568853,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,152,I1,숙박,6216,2.445302445302445,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,2030,I2,음식,6216,32.65765765765766,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,199,L1,부동산,6216,3.2014157014157014,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,512,M1,과학·기술,6216,8.236808236808237,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,201,N1,시설관리·임대,6216,3.233590733590733,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,180,P1,교육,6216,2.895752895752896,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,266,Q1,보건의료,6216,4.27927927927928,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,150,R1,예술·스포츠,6216,2.413127413127413,26230,부산진구,2623010300,부전동
20240930,2024,3,lawDong,62f6a938f48b,577,S2,수리·개인,6216,9.282496782496782,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,2162,G2,소매,7064,30.605889014722536,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,179,I1,숙박,7064,2.5339750849377123,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,2317,I2,음식,7064,32.800113250283125,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,215,L1,부동산,7064,3.043601359003397,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,574,M1,과학·기술,7064,8.125707814269536,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,229,N1,시설관리·임대,7064,3.241789354473386,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,224,P1,교육,7064,3.171007927519818,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,305,Q1,보건의료,7064,4.31766704416761,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,173,R1,예술·스포츠,7064,2.449037372593432,26230,부산진구,2623010300,부전동
20241231,2024,4,lawDong,62f6a938f48b,686,S2,수리·개인,7064,9.711211778029446,26230,부산진구,2623010300,부전동
