candidate,reference_date,age_band,count,resident_total,percent
다대제1동,2024-12-31,0–4,616,35576,1.7315043849786371
다대제1동,2024-12-31,5–9,1196,35576,3.3618169552507307
다대제1동,2024-12-31,10–14,1725,35576,4.848774454688554
다대제1동,2024-12-31,15–19,1723,35576,4.843152687204857
다대제1동,2024-12-31,20–24,1616,35576,4.542388126827075
다대제1동,2024-12-31,25–29,1763,35576,4.955588036878795
다대제1동,2024-12-31,30–34,1645,35576,4.623903755340679
다대제1동,2024-12-31,35–39,1598,35576,4.491792219473802
다대제1동,2024-12-31,40–44,2523,35576,7.091859680683607
다대제1동,2024-12-31,45–49,2663,35576,7.485383404542388
다대제1동,2024-12-31,50–54,3385,35576,9.514841466156959
다대제1동,2024-12-31,55–59,3357,35576,9.436136721385203
다대제1동,2024-12-31,60–64,3489,35576,9.807173375309198
다대제1동,2024-12-31,65–69,3105,35576,8.727794018439397
다대제1동,2024-12-31,70–74,2082,35576,5.852259950528446
다대제1동,2024-12-31,75–79,1424,35576,4.002698448392175
다대제1동,2024-12-31,80–84,983,35576,2.7630987182370137
다대제1동,2024-12-31,85–89,487,35576,1.3689003822801888
다대제1동,2024-12-31,90–94,159,35576,0.44693051495390146
다대제1동,2024-12-31,95–99,33,35576,0.09275916348099843
다대제1동,2024-12-31,100+,4,35576,0.011243534967393748
다대제2동,2024-12-31,0–4,366,25091,1.4586903670638873
다대제2동,2024-12-31,5–9,700,25091,2.789844964329839
다대제2동,2024-12-31,10–14,983,25091,3.9177394284803317
다대제2동,2024-12-31,15–19,1025,25091,4.085130126340122
다대제2동,2024-12-31,20–24,1142,25091,4.551432784663824
다대제2동,2024-12-31,25–29,1240,25091,4.942011079670001
다대제2동,2024-12-31,30–34,1123,25091,4.475708421346299
다대제2동,2024-12-31,35–39,972,25091,3.8738990076122914
다대제2동,2024-12-31,40–44,1520,25091,6.057949065401937
다대제2동,2024-12-31,45–49,1695,25091,6.755410306484396
다대제2동,2024-12-31,50–54,2244,25091,8.943445857080228
다대제2동,2024-12-31,55–59,2558,25091,10.19489059822247
다대제2동,2024-12-31,60–64,2744,25091,10.936192260172971
다대제2동,2024-12-31,65–69,2594,25091,10.338368339245148
다대제2동,2024-12-31,70–74,1684,25091,6.711569885616356
다대제2동,2024-12-31,75–79,1160,25091,4.623171655175162
다대제2동,2024-12-31,80–84,762,25091,3.0369455183133396
다대제2동,2024-12-31,85–89,404,25091,1.6101390936989357
다대제2동,2024-12-31,90–94,134,25091,0.5340560360288549
다대제2동,2024-12-31,95–99,39,25091,0.15543421944123392
다대제2동,2024-12-31,100+,2,25091,0.00797098561237097
금곡동,2024-12-31,0–4,517,34752,1.4876841620626151
금곡동,2024-12-31,5–9,869,34752,2.500575506445672
금곡동,2024-12-31,10–14,1173,34752,3.375345303867403
금곡동,2024-12-31,15–19,1240,34752,3.5681399631675874
금곡동,2024-12-31,20–24,1538,34752,4.425644567219153
금곡동,2024-12-31,25–29,1569,34752,4.514848066298343
금곡동,2024-12-31,30–34,1796,34752,5.16804788213628
금곡동,2024-12-31,35–39,1497,34752,4.307665745856354
금곡동,2024-12-31,40–44,1924,34752,5.536372007366483
