snapshot,year,quarter,level,dictionarySignature,shops,categoryCode,category,denominatorShops,sharePct,districtCode,district,lawDongCode,lawDong,quarter_index
20200331,2020,1,lawDong,62f6a938f48b,2128,G2,소매,6562,32.42913745809204,26230,부산진구,2623010300,부전동,0
20200630,2020,2,lawDong,62f6a938f48b,2149,G2,소매,6590,32.61001517450683,26230,부산진구,2623010300,부전동,1
20200930,2020,3,lawDong,62f6a938f48b,2175,G2,소매,6655,32.682193839218634,26230,부산진구,2623010300,부전동,2
20201231,2020,4,lawDong,62f6a938f48b,2165,G2,소매,6655,32.53193087903832,26230,부산진구,2623010300,부전동,3
20210331,2021,1,lawDong,62f6a938f48b,2195,G2,소매,6752,32.50888625592417,26230,부산진구,2623010300,부전동,4
20210630,2021,2,lawDong,62f6a938f48b,2190,G2,소매,6775,32.32472324723247,26230,부산진구,2623010300,부전동,5
20210930,2021,3,lawDong,62f6a938f48b,2206,G2,소매,6826,32.31760914151773,26230,부산진구,2623010300,부전동,6
20211231,2021,4,lawDong,62f6a938f48b,2183,G2,소매,6846,31.88723342097576,26230,부산진구,2623010300,부전동,7
20220331,2022,1,lawDong,62f6a938f48b,2209,G2,소매,6940,31.8299711815562,26230,부산진구,2623010300,부전동,8
20220630,2022,2,lawDong,62f6a938f48b,2205,G2,소매,6967,31.649203387397733,26230,부산진구,2623010300,부전동,9
20220930,2022,3,lawDong,62f6a938f48b,2217,G2,소매,7005,31.64882226980728,26230,부산진구,2623010300,부전동,10
20221231,2022,4,lawDong,62f6a938f48b,2195,G2,소매,6979,31.45149734919043,26230,부산진구,2623010300,부전동,11
20230331,2023,1,lawDong,62f6a938f48b,2118,G2,소매,6652,31.84004810583283,26230,부산진구,2623010300,부전동,12
20230630,2023,2,lawDong,62f6a938f48b,2118,G2,소매,6728,31.48038049940547,26230,부산진구,2623010300,부전동,13
20230930,2023,3,lawDong,62f6a938f48b,2091,G2,소매,6627,31.55273879583521,26230,부산진구,2623010300,부전동,14
20231231,2023,4,lawDong,62f6a938f48b,2100,G2,소매,6667,31.498425078746063,26230,부산진구,2623010300,부전동,15
20240331,2024,1,lawDong,62f6a938f48b,2040,G2,소매,6543,31.17835855112334,26230,부산진구,2623010300,부전동,16
20240630,2024,2,lawDong,62f6a938f48b,1987,G2,소매,6403,31.03232859597064,26230,부산진구,2623010300,부전동,17
20240930,2024,3,lawDong,62f6a938f48b,1949,G2,소매,6216,31.354568854568853,26230,부산진구,2623010300,부전동,18
20241231,2024,4,lawDong,62f6a938f48b,2162,G2,소매,7064,30.605889014722536,26230,부산진구,2623010300,부전동,19
20200331,2020,1,lawDong,62f6a938f48b,2265,I2,음식,6562,34.51691557451996,26230,부산진구,2623010300,부전동,0
20200630,2020,2,lawDong,62f6a938f48b,2261,I2,음식,6590,34.30955993930197,26230,부산진구,2623010300,부전동,1
20200930,2020,3,lawDong,62f6a938f48b,2270,I2,음식,6655,34.10969196093163,26230,부산진구,2623010300,부전동,2
20201231,2020,4,lawDong,62f6a938f48b,2262,I2,음식,6655,33.98948159278738,26230,부산진구,2623010300,부전동,3
20210331,2021,1,lawDong,62f6a938f48b,2288,I2,음식,6752,33.88625592417062,26230,부산진구,2623010300,부전동,4
20210630,2021,2,lawDong,62f6a938f48b,2279,I2,음식,6775,33.638376383763834,26230,부산진구,2623010300,부전동,5
20210930,2021,3,lawDong,62f6a938f48b,2290,I2,음식,6826,33.5481980662174,26230,부산진구,2623010300,부전동,6
20211231,2021,4,lawDong,62f6a938f48b,2309,I2,음식,6846,33.727724218521764,26230,부산진구,2623010300,부전동,7
20220331,2022,1,lawDong,62f6a938f48b,2324,I2,음식,6940,33.487031700288185,26230,부산진구,2623010300,부전동,8
20220630,2022,2,lawDong,62f6a938f48b,2325,I2,음식,6967,33.37160901392278,26230,부산진구,2623010300,부전동,9
20220930,2022,3,lawDong,62f6a938f48b,2322,I2,음식,7005,33.147751605995715,26230,부산진구,2623010300,부전동,10
20221231,2022,4,lawDong,62f6a938f48b,2305,I2,음식,6979,33.027654391746665,26230,부산진구,2623010300,부전동,11
20230331,2023,1,lawDong,62f6a938f48b,2177,I2,음식,6652,32.72699939867709,26230,부산진구,2623010300,부전동,12
20230630,2023,2,lawDong,62f6a938f48b,2254,I2,음식,6728,33.501783590963136,26230,부산진구,2623010300,부전동,13
20230930,2023,3,lawDong,62f6a938f48b,2212,I2,음식,6627,33.37860268598159,26230,부산진구,2623010300,부전동,14
20231231,2023,4,lawDong,62f6a938f48b,2215,I2,음식,6667,33.22333883305835,26230,부산진구,2623010300,부전동,15
20240331,2024,1,lawDong,62f6a938f48b,2157,I2,음식,6543,32.966529115084825,26230,부산진구,2623010300,부전동,16
20240630,2024,2,lawDong,62f6a938f48b,2122,I2,음식,6403,33.14071528970795,26230,부산진구,2623010300,부전동,17
20240930,2024,3,lawDong,62f6a938f48b,2030,I2,음식,6216,32.65765765765766,26230,부산진구,2623010300,부전동,18
20241231,2024,4,lawDong,62f6a938f48b,2317,I2,음식,7064,32.800113250283125,26230,부산진구,2623010300,부전동,19
