district,total,질병,질병외,부상,기타유형
부산진구,64059,21439,22421,4894,15305
해운대구,56927,19987,19468,4270,13202
사하구,48076,16544,16277,3632,11623
사상구,41747,14336,14284,3102,10025
북구,41205,14937,14540,3056,8672
동래구,37226,13143,12792,2836,8455
금정구,36852,12911,12302,2734,8905
남구,36320,12876,12245,2852,8347
수영구,31015,10449,10473,2450,7643
연제구,29648,10432,10324,2249,6643
기장군,29393,9490,9211,2237,8455
강서구,24603,7210,7096,2017,8280
영도구,22532,8169,7829,1747,4787
서구,21391,7466,7364,1677,4884
동구,20332,6892,7241,1570,4629
중구,14460,4401,4996,1199,3864
