연도,조건,지역,신고건수
2020,A,부산 전체,114236
2020,A,부산진구,12949
2020,A,중구,3117
2020,B,부산 전체,100073
2020,B,부산진구,11336
2020,B,중구,2730
2020,C,부산 전체,99661
2020,C,부산진구,11275
2020,C,중구,2717
2021,A,부산 전체,139189
2021,A,부산진구,15560
2021,A,중구,3678
2021,B,부산 전체,113965
2021,B,부산진구,12762
2021,B,중구,2943
2021,C,부산 전체,113037
2021,C,부산진구,12597
2021,C,중구,2921
2022,A,부산 전체,158478
2022,A,부산진구,17795
2022,A,중구,4388
2022,B,부산 전체,127241
2022,B,부산진구,14398
2022,B,중구,3465
2022,C,부산 전체,126252
2022,C,부산진구,14284
2022,C,중구,3433
2023,A,부산 전체,149390
2023,A,부산진구,17313
2023,A,중구,3891
2023,B,부산 전체,121311
2023,B,부산진구,13988
2023,B,중구,3092
2023,C,부산 전체,120187
2023,C,부산진구,13882
2023,C,중구,3069
2024,A,부산 전체,143396
2024,A,부산진구,16382
2024,A,중구,3231
2024,B,부산 전체,116822
2024,B,부산진구,13446
2024,B,중구,2524
2024,C,부산 전체,115525
2024,C,부산진구,13264
2024,C,중구,2510
