지역,원문동명,신고건수,구내비중(%)
부산진구,부전동,12078,18.49560503506784
부산진구,전포동,7602,11.641297356895654
부산진구,개금동,7531,11.532571743591316
부산진구,당감동,6331,9.694955744081344
부산진구,범천동,6298,9.64442130409482
부산진구,양정동,5634,8.627607117699304
부산진구,가야동,5238,8.021193837861015
부산진구,부암동,5079,7.777709717925944
부산진구,초읍동,5021,7.688891611282962
부산진구,연지동,3405,5.214235398609538
부산진구,범전동,1085,1.6615111328902636
중구,영주동,1800,12.286689419795222
중구,보수동1가,1316,8.982935153583618
중구,남포동6가,1152,7.863481228668942
중구,중앙동4가,929,6.341296928327646
중구,부평동2가,905,6.177474402730375
중구,대청동4가,862,5.883959044368601
중구,남포동5가,787,5.3720136518771335
중구,부평동1가,652,4.450511945392491
중구,동광동5가,613,4.184300341296928
중구,보수동2가,558,3.8088737201365186
중구,부평동4가,524,3.57679180887372
중구,부평동3가,421,2.8737201365187715
중구,보수동3가,414,2.8259385665529013
중구,남포동4가,310,2.1160409556313993
중구,대청동1가,241,1.6450511945392492
중구,남포동1가,237,1.6177474402730374
중구,중앙동6가,231,1.57679180887372
중구,중앙동7가,201,1.372013651877133
중구,대창동1가,182,1.242320819112628
중구,대청동2가,180,1.228668941979522
중구,광복동1가,165,1.1262798634812288
중구,신창동1가,164,1.1194539249146758
중구,남포동2가,163,1.1126279863481228
중구,중앙동2가,152,1.037542662116041
중구,중앙동5가,147,1.0034129692832765
중구,동광동1가,134,0.9146757679180887
중구,창선동1가,118,0.8054607508532423
중구,광복동2가,113,0.7713310580204779
중구,신창동4가,111,0.757679180887372
중구,동광동3가,110,0.7508532423208191
중구,대청동3가,98,0.6689419795221843
중구,중앙동3가,97,0.6621160409556315
중구,중앙동1가,95,0.6484641638225256
중구,동광동2가,89,0.6075085324232082
중구,창선동2가,86,0.5870307167235495
중구,신창동2가,68,0.4641638225255973
중구,남포동3가,58,0.3959044368600682
중구,대창동2가,55,0.37542662116040953
중구,신창동3가,40,0.27303754266211605
중구,광복동3가,36,0.24573378839590443
중구,동광동4가,36,0.24573378839590443
