CLMTY_SGG_NM,PLCSCN_CNTR_NM,신고건수
부산진구,가야119안전센터,11035
부산진구,감전119안전센터,1
부산진구,강동119안전센터,1
부산진구,괴정119안전센터,1
부산진구,남산119안전센터,1
부산진구,다대119안전센터,1
부산진구,당감119안전센터,10157
부산진구,동삼119안전센터,2
부산진구,모라119안전센터,3
부산진구,반송119안전센터,1
부산진구,범일119안전센터,5610
부산진구,부두119안전센터,1
부산진구,부민119안전센터,1
부산진구,부암119안전센터,11564
부산진구,부전119안전센터,20768
부산진구,사직119안전센터,8
부산진구,삼락119안전센터,2
부산진구,센텀119안전센터,1
부산진구,수안119안전센터,1
부산진구,수정119안전센터,2
부산진구,안창119안전센터,497
부산진구,양정119안전센터,5629
부산진구,연산119안전센터,2
부산진구,우동119안전센터,2
부산진구,일광119안전센터,1
부산진구,주례119안전센터,9
부산진구,초량119안전센터,1
중구,다대119안전센터,2
중구,대저119안전센터,1
중구,동삼119안전센터,1
중구,모라119안전센터,1
중구,반여119안전센터,1
중구,부두119안전센터,113
중구,부민119안전센터,2291
중구,수정119안전센터,1
중구,신평119안전센터,2
중구,신호119안전센터,1
중구,영선119안전센터,14
중구,용당119안전센터,3
중구,중앙119안전센터,6861
중구,창선119안전센터,3325
중구,청학119안전센터,2
중구,초량119안전센터,12
중구,충무119안전센터,2018
중구,학장119안전센터,1
