district,rawDong,candidateCode,candidateName,total2020,total2024,totalChange,age12Plus2024,under12_2024,age65Plus2020,age65Plus2024,age65Share2020,age65Share2024,age65ShareChangePP
연제구,연산동,2647065000,연산제1동,16447,15704,-743,14546,1158,3237,3926,0.1968140086337934,0.25,5.31859913662066
연제구,연산동,2647066000,연산제2동,20934,21731,797,19677,2054,3655,4402,0.17459635043469954,0.20256776034236804,2.7971409907668496
연제구,연산동,2647067000,연산제3동,7419,10252,2833,9405,847,2160,2744,0.29114435907804287,0.26765509168942647,-2.34892673886164
연제구,연산동,2647068000,연산제4동,16808,16340,-468,15615,725,3891,4590,0.23149690623512614,0.28090575275397794,4.94088465188518
연제구,연산동,2647069000,연산제5동,16537,16782,245,16094,688,2586,3253,0.1563766100260023,0.19383863663448933,3.7462026608487022
연제구,연산동,2647070000,연산제6동,17101,15370,-1731,14412,958,4144,4661,0.24232501023331968,0.30325309043591414,6.092808020259446
연제구,연산동,2647072000,연산제8동,14470,13076,-1394,11989,1087,2593,3153,0.1791983413959917,0.24112878556133374,6.193044416534205
연제구,연산동,2647073000,연산제9동,36161,31990,-4171,29932,2058,6405,7880,0.17712452642349494,0.24632697718036886,6.920245075687392
부산진구,부전동,2623051000,부전제1동,15533,14234,-1299,13687,547,2972,2677,0.19133457799523595,0.18807081635520584,-0.3263761640030116
부산진구,부전동,2623052000,부전제2동,9915,12202,2287,11393,809,1366,1599,0.13777105395864853,0.1310440911326012,-0.6726962826047317
수영구,광안동,2650076000,광안제1동,26065,24807,-1258,23773,1034,4772,5700,0.18308075963936313,0.22977385415406942,4.66930945147063
수영구,광안동,2650077000,광안제2동,18688,18319,-369,17259,1060,3655,4235,0.195580051369863,0.23118074130683988,3.5600689936976875
수영구,광안동,2650078000,광안제3동,9696,9148,-548,8931,217,2162,2387,0.2229785478547855,0.2609313511149978,3.795280326021233
수영구,광안동,2650079000,광안제4동,13127,13101,-26,12172,929,2702,3160,0.20583530128742286,0.24120296160598428,3.5367660318561422
