district,rawDong,type,subtype,regionObservedYears,status,countC,candidateEligible,yearCounts,core8YearCounts,retention,directionPreservedAllScopes,repeatedAllScopes,selectedDetailedExample
강서구,강동동,구급,심정지,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,30,False,"[8, 5, 3, 10, 4]","[9, 8, 5, 16, 9]",0.6382978723404256,False,True,False
강서구,강동동,화재,일반화재(주택),"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,29,False,"[5, 5, 5, 6, 8]","[6, 5, 5, 6, 8]",0.9666666666666667,False,True,False
강서구,강동동,구조,산악사고,"[2020, 2021, 2022, 2023, 2024]",해당 조건에서 관측된 신고 없음,0,False,,,,,,False
강서구,강동동,구조,수난사고,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,4,False,"[0, 0, 2, 2, 0]","[2, 1, 5, 3, 0]",0.36363636363636365,True,False,False
강서구,강동동,구급,교통사고,"[2020, 2021, 2022, 2023, 2024]",반복·방향 보존,117,True,"[21, 20, 21, 28, 27]","[34, 30, 31, 44, 41]",0.65,True,True,False
강서구,구랑동,구급,심정지,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,2,False,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]",1.0,True,False,False
강서구,구랑동,화재,일반화재(주택),"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,1,False,"[1, 0, 0, 0, 0]","[2, 0, 0, 0, 1]",0.3333333333333333,True,False,False
강서구,구랑동,구조,산악사고,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,2,False,"[0, 0, 2, 0, 0]","[0, 0, 2, 0, 0]",1.0,True,False,False
강서구,구랑동,구조,수난사고,"[2020, 2021, 2022, 2023, 2024]",해당 조건에서 관측된 신고 없음,0,False,,,,,,False
강서구,구랑동,구급,교통사고,"[2020, 2021, 2022, 2023, 2024]",반복·방향 보존,32,True,"[3, 7, 10, 7, 5]","[6, 11, 23, 15, 11]",0.48484848484848486,True,True,False
강서구,녹산동,구급,심정지,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,9,False,"[1, 4, 3, 0, 1]","[1, 5, 4, 2, 1]",0.6923076923076923,True,False,False
강서구,녹산동,화재,일반화재(주택),"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,6,False,"[2, 1, 2, 1, 0]","[2, 1, 3, 1, 0]",0.8571428571428571,True,False,False
강서구,녹산동,구조,산악사고,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,2,False,"[0, 0, 1, 0, 1]","[1, 0, 1, 0, 1]",0.6666666666666666,True,False,False
강서구,녹산동,구조,수난사고,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,0,False,"[0, 0, 0, 0, 0]","[1, 0, 1, 1, 1]",0.0,True,False,False
강서구,녹산동,구급,교통사고,"[2020, 2021, 2022, 2023, 2024]",반복·방향 보존,48,True,"[13, 11, 6, 7, 11]","[19, 19, 10, 11, 18]",0.6233766233766234,True,True,False
강서구,눌차동,구급,심정지,"[2020, 2021, 2022, 2023, 2024]",결측·처리조건 민감 또는 5년 반복 미충족,4,False,"[1, 0, 1, 2, 0]","[1, 0, 1, 3, 1]",0.6666666666666666,True,False,False
강서구,눌차동,화재,일반화재(주택),"[2020, 2021, 2022, 2023, 2024]",해당 조건에서 관측된 신고 없음,0,False,,,,,,False
