year,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,count,scope
2020,구급,U안심폰대상자,55,A
2020,구급,가스중독,6,A
2020,구급,교통사고,7154,A
2020,구급,구급기타,308,A
2020,구급,무선페이징,1,A
2020,구급,부상,8164,A
2020,구급,사고부상,906,A
2020,구급,심정지,2251,A
2020,구급,약물중독,366,A
2020,구급,임산부,189,A
2020,구급,질병,41998,A
2020,구급,질병외,27649,A
2020,구급,행려병자,23,A
2020,구급,화상,98,A
2020,구조,E/V사고,1302,A
2020,구조,교통사고,1742,A
2020,구조,기계사고,72,A
2020,구조,기타안전사고,1390,A
2020,구조,동물구조,2122,A
2020,구조,벌집제거,2426,A
2020,구조,붕괴사고,7,A
2020,구조,산악사고,304,A
2020,구조,수난사고,292,A
2020,구조,시건개방,2161,A
2020,구조,실종자,41,A
2020,구조,약물사고,3,A
2020,구조,자살,377,A
2020,구조,자연재해,1285,A
2020,구조,추락사고,148,A
2020,구조,폭발사고,5,A
2020,구조,항공구조(수색구조),1,A
2020,기타,기타,2,A
2020,기타,기타출동,2929,A
2020,기타,대민지원,62,A
2020,기타,민원출동,261,A
2020,기타,상황출동,441,A
2020,기타,순찰출동,36,A
2020,기타,업무운행,341,A
2020,기타,예방경계,5,A
2020,기타,응원출동,13,A
2020,기타,지원출동(가스),3,A
2020,기타,지원출동(근접배치),10,A
2020,기타,지원출동(기타),2,A
2020,기타,지원출동(도로세척),2,A
2020,기타,지원출동(배수),52,A
2020,기타,지원출동(전기),2,A
2020,기타,지원출동(풍수해),3,A
2020,기타,지원출동(행사지원),1,A
2020,기타,지원출동(환경),1,A
2020,기타,화재확인출동,1917,A
2020,기타,훈련출동,84,A
2020,화재,"고층건물(3층이상,아파트)",930,A
2020,화재,기타화재,1739,A
2020,화재,"대형화재(시장,공장)",668,A
2020,화재,산불,230,A
2020,화재,일반화재(주택),1216,A
2020,화재,일반화재(차량),364,A
2020,화재,지하화재,27,A
2020,화재,"특수화재(선박,위험물)",49,A
2021,구급,U안심폰대상자,148,A
2021,구급,가스중독,12,A
2021,구급,교통사고,7674,A
2021,구급,구급기타,2727,A
2021,구급,구급예약,1,A
2021,구급,무선페이징,6,A
2021,구급,부상,9831,A
2021,구급,사고부상,734,A
2021,구급,심정지,2860,A
2021,구급,아나필락시스,2,A
2021,구급,약물중독,412,A
2021,구급,응급신경증상(뇌졸중),9,A
2021,구급,임산부,227,A
2021,구급,질병,45788,A
2021,구급,질병외,38218,A
2021,구급,행려병자,27,A
2021,구급,화상,98,A
2021,구급,흉통,26,A
2021,구조,E/V사고,1575,A
2021,구조,교통사고,1786,A
2021,구조,기계사고,55,A
2021,구조,기타안전사고,1810,A
2021,구조,동물구조,2229,A
2021,구조,벌집제거,3845,A
2021,구조,붕괴사고,1,A
2021,구조,산악사고,404,A
2021,구조,수난사고,354,A
2021,구조,시건개방,2639,A
2021,구조,실종자,54,A
2021,구조,약물사고,8,A
2021,구조,자살,457,A
2021,구조,자연재해,756,A
2021,구조,추락사고,199,A
2021,기타,기타출동,2820,A
2021,기타,대민지원,32,A
2021,기타,민원출동,205,A
2021,기타,상황출동,120,A
2021,기타,순찰출동,19,A
2021,기타,업무운행,832,A
2021,기타,예방경계,4,A
2021,기타,응원출동,83,A
2021,기타,지원출동(가스),10,A
2021,기타,지원출동(근접배치),40,A
2021,기타,지원출동(급수),1,A
2021,기타,지원출동(기타),2,A
2021,기타,지원출동(배수),74,A
2021,기타,지원출동(재해),4,A
2021,기타,지원출동(풍수해),1,A
2021,기타,화재확인출동,3577,A
2021,기타,훈련출동,122,A
2021,화재,"고층건물(3층이상,아파트)",1304,A
2021,화재,기타화재,1866,A
2021,화재,"대형화재(시장,공장)",956,A
2021,화재,산불,166,A
2021,화재,일반화재(주택),1389,A
2021,화재,일반화재(차량),475,A
2021,화재,지하화재,42,A
2021,화재,"특수화재(선박,위험물)",73,A
2022,구급,U안심폰대상자,346,A
2022,구급,가스중독,8,A
2022,구급,교통사고,7185,A
2022,구급,구급기타,3262,A
2022,구급,구급예약,2,A
2022,구급,무선페이징,14,A
2022,구급,부상,10967,A
2022,구급,사고부상,424,A
2022,구급,심정지,3335,A
2022,구급,아나필락시스,8,A
2022,구급,약물중독,466,A
2022,구급,응급신경증상(뇌졸중),15,A
2022,구급,임산부,261,A
2022,구급,질병,48997,A
2022,구급,질병외,50106,A
2022,구급,행려병자,23,A
2022,구급,화상,104,A
2022,구급,흉통,117,A
2022,구조,E/V사고,1793,A
2022,구조,교통사고,1606,A
2022,구조,기계사고,67,A
2022,구조,기타안전사고,1767,A
2022,구조,동물구조,1939,A
2022,구조,벌집제거,3734,A
2022,구조,산악사고,405,A
2022,구조,수난사고,337,A
2022,구조,시건개방,2965,A
2022,구조,실종자,120,A
2022,구조,약물사고,4,A
2022,구조,자살,529,A
2022,구조,자연재해,340,A
2022,구조,추락사고,160,A
2022,구조,폭발사고,1,A
2022,기타,기타출동,2321,A
2022,기타,대민지원,43,A
2022,기타,민원출동,210,A
2022,기타,산사태,2,A
2022,기타,상황출동,465,A
2022,기타,순찰출동,8,A
2022,기타,업무운행,900,A
2022,기타,예방경계,4,A
2022,기타,응원출동,9,A
