district,place,alreadyImproved,shortTermItems,roadSafetyItems,trafficSafetyItems,geometryOtherItems,longTermItems,exactNamedTaasLawCodes,lawNameCandidates,mappingStatus,date,currentCompletion,sourcePdfPage
남구,대연동못골시장 부근,1,0,0,0,0,0,['2629010600'],['대연동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
남구,못골사거리 부근,0,3,0,3,0,0,['2629010600'],['대연동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
남구,남구종합사회복지관 부근,0,2,0,2,0,1,[],[],동 위치 미확정·구군만 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
남구,용호종합사회복지관 부근,0,14,0,14,0,1,[],[],동 위치 미확정·구군만 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
동구,부산진시장앞교차로 부근,0,5,0,4,1,5,['2617010400'],['범일동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
부산진구,굿모닝성모안과의원 부근,0,13,1,12,0,2,['2623010300'],['부전동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
사하구,한비전교회 부근,0,3,0,1,2,1,['2638010200'],['당리동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
수영구,장대골삼거리 부근,5,19,2,15,2,0,['2650010400'],['광안동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
수영구,사도행전교회 부근,2,4,1,2,1,0,['2650010100'],['망미동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
연제구,거제시장 부근,1,17,8,7,2,3,['2647010100'],['거제동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
연제구,부산광역시노인종합복지관,0,9,9,0,0,1,[],[],동 위치 미확정·구군만 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
영도구,남항시장사거리 부근,0,16,2,14,0,0,"['2620010900', '2620011000']","['영선동2가', '영선동3가']",동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
중구,남포사거리 부근,0,6,0,4,2,4,['2611014000'],['남포동5가'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
해운대구,반송도서관교차로 부근,0,11,0,9,2,1,['2635010100'],['반송동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4
