region,year,cpr_performed_patients,cpr_rate_percent,denominator_patients,denominator_status,source_pdf_page,source_printed_page,source_table,source_row
전국,2020,7409,26.4,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,75,51,42,전체
전국,2021,8381,28.8,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,75,51,42,전체
전국,2022,8856,29.3,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,75,51,42,전체
전국,2023,9068,31.3,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,75,51,42,전체
전국,2024,8563,30.3,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,75,51,42,전체
부산,2020,365,19.7,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,76,52,42,시·도 > 부산
부산,2021,446,20.8,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,76,52,42,시·도 > 부산
부산,2022,441,20.0,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,76,52,42,시·도 > 부산
부산,2023,346,16.4,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,76,52,42,시·도 > 부산
부산,2024,294,13.8,,표42의 정확한 분모 수 미제시; 반올림 비율 역산 안 함,76,52,42,시·도 > 부산
