district,rawDong,type,subtype,count,yearCounts,minimumAnnual,validAnnual,topMonths,topSeasons,annualMonthExact,annualSeasonExact,leaveOneMonthExact,leaveOneSeasonExact,leaveOneSeasonOverlap
강서구,강동동,구급,심정지,30,"[8, 5, 3, 10, 4]",3,5,[10],['가을'],1,2,4,3,3
강서구,강동동,화재,일반화재(주택),29,"[5, 5, 5, 6, 8]",5,5,[12],['겨울'],1,2,4,3,3
강서구,강동동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,강동동,구조,수난사고,4,"[0, 0, 2, 2, 0]",0,2,[9],['가을'],1,2,4,5,5
강서구,강동동,구급,교통사고,117,"[21, 20, 21, 28, 27]",20,5,[9],['가을'],2,1,5,3,3
강서구,구랑동,구급,심정지,2,"[0, 1, 0, 1, 0]",0,2,"[1, 3]",['겨울'],0,1,3,4,4
강서구,구랑동,화재,일반화재(주택),1,"[1, 0, 0, 0, 0]",0,1,[3],['봄'],1,1,4,4,4
강서구,구랑동,구조,산악사고,2,"[0, 0, 2, 0, 0]",0,1,[9],['가을'],1,1,4,4,4
강서구,구랑동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,구랑동,구급,교통사고,32,"[3, 7, 10, 7, 5]",3,5,[11],['겨울'],0,1,2,4,4
강서구,녹산동,구급,심정지,9,"[1, 4, 3, 0, 1]",0,4,[6],['겨울'],1,2,4,3,3
강서구,녹산동,화재,일반화재(주택),6,"[2, 1, 2, 1, 0]",0,4,"[1, 10]",['겨울'],1,3,2,5,5
강서구,녹산동,구조,산악사고,2,"[0, 0, 1, 0, 1]",0,2,"[7, 12]",['겨울'],0,1,3,4,4
강서구,녹산동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,녹산동,구급,교통사고,48,"[13, 11, 6, 7, 11]",6,5,[11],['가을'],1,4,2,5,5
강서구,눌차동,구급,심정지,4,"[1, 0, 1, 2, 0]",0,3,[2],['겨울'],1,1,4,4,4
강서구,눌차동,화재,일반화재(주택),0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,눌차동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,눌차동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,눌차동,구급,교통사고,2,"[0, 0, 1, 0, 1]",0,2,[12],['겨울'],2,2,5,5,5
강서구,대저1동,구급,심정지,59,"[7, 13, 15, 12, 12]",7,5,[5],['봄'],1,1,3,4,4
강서구,대저1동,화재,일반화재(주택),38,"[6, 12, 8, 9, 3]",3,5,[6],['겨울'],2,1,3,2,2
강서구,대저1동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,대저1동,구조,수난사고,6,"[1, 1, 0, 2, 2]",0,4,"[4, 6]",['봄'],0,2,1,3,4
강서구,대저1동,구급,교통사고,257,"[60, 41, 61, 44, 51]",41,5,"[10, 12]",['가을'],0,2,0,5,5
강서구,대저2동,구급,심정지,43,"[9, 6, 7, 9, 12]",6,5,"[6, 11]",['봄'],0,1,0,4,4
강서구,대저2동,화재,일반화재(주택),41,"[7, 7, 12, 5, 10]",5,5,[1],['겨울'],1,3,2,5,5
강서구,대저2동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,대저2동,구조,수난사고,4,"[0, 2, 1, 1, 0]",0,3,"[4, 6]",['여름'],0,2,3,5,5
강서구,대저2동,구급,교통사고,240,"[39, 49, 51, 49, 52]",39,5,[10],['가을'],1,2,3,3,3
강서구,대항동,구급,심정지,5,"[1, 0, 3, 1, 0]",0,3,[5],['봄'],1,2,3,3,3
강서구,대항동,화재,일반화재(주택),3,"[0, 1, 1, 0, 1]",0,3,[11],['가을'],2,2,3,3,3
강서구,대항동,구조,산악사고,3,"[1, 0, 1, 1, 0]",0,3,[2],['겨울'],1,1,4,4,4
강서구,대항동,구조,수난사고,6,"[1, 0, 1, 2, 2]",0,4,[10],['가을'],0,2,3,5,5
강서구,대항동,구급,교통사고,1,"[0, 0, 1, 0, 0]",0,1,[12],['겨울'],1,1,4,4,4
강서구,동선동,구급,심정지,5,"[1, 0, 2, 1, 1]",0,4,[6],"['봄', '여름']",2,0,5,1,5
강서구,동선동,화재,일반화재(주택),0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,동선동,구조,산악사고,6,"[1, 1, 1, 2, 1]",1,5,[6],['가을'],1,2,3,3,3
강서구,동선동,구조,수난사고,1,"[0, 0, 0, 1, 0]",0,1,[7],['여름'],1,1,4,4,4
강서구,동선동,구급,교통사고,5,"[0, 2, 2, 1, 0]",0,3,[9],['가을'],2,1,3,4,4
강서구,명지동,구급,심정지,81,"[11, 18, 18, 18, 16]",11,5,[4],['가을'],1,1,2,4,4
강서구,명지동,화재,일반화재(주택),30,"[10, 6, 4, 6, 4]",4,5,[10],['가을'],1,1,4,3,3
강서구,명지동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,명지동,구조,수난사고,4,"[1, 0, 1, 1, 1]",0,4,[9],['봄'],1,2,4,3,3
강서구,명지동,구급,교통사고,429,"[84, 79, 89, 93, 84]",79,5,[11],['가을'],2,2,4,5,5
강서구,미음동,구급,심정지,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,미음동,화재,일반화재(주택),3,"[2, 1, 0, 0, 0]",0,2,[4],['봄'],1,1,4,4,4
강서구,미음동,구조,산악사고,1,"[0, 1, 0, 0, 0]",0,1,[9],['가을'],1,1,4,4,4
강서구,미음동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,미음동,구급,교통사고,28,"[9, 8, 5, 2, 4]",2,5,[4],['봄'],1,2,3,5,5
강서구,범방동,구급,심정지,2,"[0, 0, 0, 0, 2]",0,1,"[1, 5]",['겨울'],1,1,4,4,4
