statisticsYear,boundaryDate,sgisCode,district,name,level,kind,itemCode,itemLabel,value,rawValue,missing
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_001,다세대,148276.0,148276,False
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_002,단독주택,164145.0,164145,False
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_005,영업용 건물 내 주택,10775.0,10775,False
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_004,연립주택,26358.0,26358,False
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_003,아파트,878143.0,878143,False
2024,2025-06-30,21,부산광역시,부산광역시,city,type,ho_gb_006,주택이외 거처,109459.0,109459,False
2024,2025-06-30,21060,동래구,동래구,district,type,ho_gb_005,영업용 건물 내 주택,996.0,996,False
2024,2025-06-30,21150,사상구,사상구,district,type,ho_gb_004,연립주택,709.0,709,False
2024,2025-06-30,21080,북구,북구,district,type,ho_gb_004,연립주택,2037.0,2037,False
2024,2025-06-30,21010,중구,중구,district,type,ho_gb_005,영업용 건물 내 주택,568.0,568,False
2024,2025-06-30,21070,남구,남구,district,type,ho_gb_005,영업용 건물 내 주택,709.0,709,False
2024,2025-06-30,21020,서구,서구,district,type,ho_gb_001,다세대,5786.0,5786,False
2024,2025-06-30,21100,사하구,사하구,district,type,ho_gb_006,주택이외 거처,6623.0,6623,False
2024,2025-06-30,21150,사상구,사상구,district,type,ho_gb_003,아파트,58408.0,58408,False
2024,2025-06-30,21010,중구,중구,district,type,ho_gb_002,단독주택,3789.0,3789,False
2024,2025-06-30,21060,동래구,동래구,district,type,ho_gb_002,단독주택,10686.0,10686,False
2024,2025-06-30,21120,강서구,강서구,district,type,ho_gb_001,다세대,671.0,671,False
2024,2025-06-30,21050,부산진구,부산진구,district,type,ho_gb_005,영업용 건물 내 주택,987.0,987,False
2024,2025-06-30,21100,사하구,사하구,district,type,ho_gb_001,다세대,10571.0,10571,False
2024,2025-06-30,21110,금정구,금정구,district,type,ho_gb_002,단독주택,13753.0,13753,False
2024,2025-06-30,21030,동구,동구,district,type,ho_gb_002,단독주택,11172.0,11172,False
2024,2025-06-30,21140,수영구,수영구,district,type,ho_gb_006,주택이외 거처,7288.0,7288,False
2024,2025-06-30,21120,강서구,강서구,district,type,ho_gb_004,연립주택,312.0,312,False
2024,2025-06-30,21030,동구,동구,district,type,ho_gb_004,연립주택,869.0,869,False
2024,2025-06-30,21020,서구,서구,district,type,ho_gb_004,연립주택,967.0,967,False
2024,2025-06-30,21070,남구,남구,district,type,ho_gb_004,연립주택,2451.0,2451,False
2024,2025-06-30,21040,영도구,영도구,district,type,ho_gb_006,주택이외 거처,1715.0,1715,False
2024,2025-06-30,21090,해운대구,해운대구,district,type,ho_gb_004,연립주택,2014.0,2014,False
2024,2025-06-30,21070,남구,남구,district,type,ho_gb_002,단독주택,11245.0,11245,False
2024,2025-06-30,21120,강서구,강서구,district,type,ho_gb_003,아파트,36985.0,36985,False
2024,2025-06-30,21040,영도구,영도구,district,type,ho_gb_002,단독주택,11013.0,11013,False
2024,2025-06-30,21130,연제구,연제구,district,type,ho_gb_001,다세대,9890.0,9890,False
2024,2025-06-30,21100,사하구,사하구,district,type,ho_gb_004,연립주택,4404.0,4404,False
2024,2025-06-30,21010,중구,중구,district,type,ho_gb_006,주택이외 거처,4118.0,4118,False
2024,2025-06-30,21020,서구,서구,district,type,ho_gb_005,영업용 건물 내 주택,419.0,419,False
2024,2025-06-30,21510,기장군,기장군,district,type,ho_gb_004,연립주택,1270.0,1270,False
2024,2025-06-30,21130,연제구,연제구,district,type,ho_gb_005,영업용 건물 내 주택,684.0,684,False
2024,2025-06-30,21070,남구,남구,district,type,ho_gb_001,다세대,18495.0,18495,False
2024,2025-06-30,21150,사상구,사상구,district,type,ho_gb_006,주택이외 거처,6360.0,6360,False
2024,2025-06-30,21050,부산진구,부산진구,district,type,ho_gb_002,단독주택,16770.0,16770,False
2024,2025-06-30,21140,수영구,수영구,district,type,ho_gb_002,단독주택,8509.0,8509,False
2024,2025-06-30,21120,강서구,강서구,district,type,ho_gb_006,주택이외 거처,5754.0,5754,False
2024,2025-06-30,21140,수영구,수영구,district,type,ho_gb_003,아파트,39207.0,39207,False
2024,2025-06-30,21510,기장군,기장군,district,type,ho_gb_001,다세대,3215.0,3215,False
2024,2025-06-30,21090,해운대구,해운대구,district,type,ho_gb_001,다세대,11383.0,11383,False
2024,2025-06-30,21080,북구,북구,district,type,ho_gb_003,아파트,86525.0,86525,False
2024,2025-06-30,21130,연제구,연제구,district,type,ho_gb_004,연립주택,1248.0,1248,False
2024,2025-06-30,21130,연제구,연제구,district,type,ho_gb_002,단독주택,9010.0,9010,False
2024,2025-06-30,21150,사상구,사상구,district,type,ho_gb_001,다세대,7693.0,7693,False
2024,2025-06-30,21010,중구,중구,district,type,ho_gb_004,연립주택,606.0,606,False
2024,2025-06-30,21030,동구,동구,district,type,ho_gb_001,다세대,3995.0,3995,False
2024,2025-06-30,21050,부산진구,부산진구,district,type,ho_gb_006,주택이외 거처,20683.0,20683,False
2024,2025-06-30,21040,영도구,영도구,district,type,ho_gb_005,영업용 건물 내 주택,432.0,432,False
2024,2025-06-30,21090,해운대구,해운대구,district,type,ho_gb_003,아파트,111120.0,111120,False
2024,2025-06-30,21090,해운대구,해운대구,district,type,ho_gb_006,주택이외 거처,15859.0,15859,False
2024,2025-06-30,21110,금정구,금정구,district,type,ho_gb_006,주택이외 거처,4950.0,4950,False
2024,2025-06-30,21120,강서구,강서구,district,type,ho_gb_005,영업용 건물 내 주택,417.0,417,False
