district,place,alreadyImproved,shortTermItems,roadSafetyItems,trafficSafetyItems,geometryOtherItems,longTermItems,exactNamedTaasLawCodes,lawNameCandidates,mappingStatus,date,currentCompletion,sourcePdfPage,followupStatus,confirmedFollowup,followupSources,remainingEvidence,sameInterventionConfirmed,currentlyUnimprovedConfirmed,searchCount,searchDate
남구,대연동못골시장 부근,1,0,0,0,0,0,['2629010600'],['대연동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,주변 사업 준공·평가 계약 완료 확인; 평가 결과 미확보,"못골시장 일원 사업 2025.2 전체 준공, 2026.5.20 효과평가 계약상 완료. 원 2023 기개선 1항목과 사업 항목의 동일성은 별도 미확인.",motgol-completed.html; data/processed/동별보완-추가근거-20260916/followup/namgu-investment-2025.pdf; data/processed/동별보완-추가근거-20260916/followup/evaluation-detail.json,2026 최종 효과평가 보고서·과업지시서·2024 발언의 8건 민원 원장 및 종결조치,False,False,3,2026-09-16
남구,못골사거리 부근,0,3,0,3,0,0,['2629010600'],['대연동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,2,2026-09-16
남구,남구종합사회복지관 부근,0,2,0,2,0,1,[],[],동 위치 미확정·구군만 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,공식 시설 주소 확보; 조치 완료 미확인,부산시 공식 시설 목록: 동제당로 258 (우암동). 현재 공개 목록으로 2023 점검 범위는 확정하지 않음.,busan-facility-addresses.html,2023 점검 상세 위치도와 교통시설 2항목·중장기 1항목 조치대장,False,False,2,2026-09-16
남구,용호종합사회복지관 부근,0,14,0,14,0,1,[],[],동 위치 미확정·구군만 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,공식 시설 주소 확보; 조치 완료 미확인,부산시 공식 시설 목록: 이기대공원로 7 (용호동). 현재 공개 목록으로 2023 점검 범위는 확정하지 않음.,busan-facility-addresses.html,2023 점검 상세 위치도와 교통시설 14항목·중장기 1항목 조치대장,False,False,2,2026-09-16
동구,부산진시장앞교차로 부근,0,5,0,4,1,5,['2617010400'],['범일동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,3,2026-09-16
부산진구,굿모닝성모안과의원 부근,0,13,1,12,0,2,['2623010300'],['부전동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,2,2026-09-16
사하구,한비전교회 부근,0,3,0,1,2,1,['2638010200'],['당리동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,2,2026-09-16
수영구,장대골삼거리 부근,5,19,2,15,2,0,['2650010400'],['광안동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,3,2026-09-16
수영구,사도행전교회 부근,2,4,1,2,1,0,['2650010100'],['망미동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,개별 조치 완료 근거 미확보,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,coverage_mois_all14_inspection_sites.csv,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,False,False,2,2026-09-16
연제구,거제시장 부근,1,17,8,7,2,3,['2647010100'],['거제동'],동일 구군·지점명 대응,2023-11-29,이 표로 현재 미완료를 판단하지 않음,4,생활권 계획·주변 펜스 예산심사 확인; 점검항목 완료 미확인,2030 계획 PDF13쪽에 거제시장 인근 근린생활가로 약400m. 2024.12.12 연제구의회는 거제천로101~121 펜스 논의 후 주민참여 펜스 예산3740만원 전액삭감. 발언자도 정확한 위치를 재확인하려 했으며 2023 점검 구역과 동일성 미확인.,busan-2030-neighborhood-plan.pdf; yeonje-budget-fence-2024.html,"2023 단기17·중장기3항목 조치대장, 펜스 제안구간 위치도·경찰협의서·2025 최종예산 및 추경·시공 여부",False,False,3,2026-09-16
