snapshot,year,quarter,level,dictionarySignature,shops,districtCode,district,lawDongCode,lawDong
20200331,2020,1,busan,62f6a938f48b,144753,,,,
20200331,2020,1,district,62f6a938f48b,7574,26110,중구,,
20200331,2020,1,district,62f6a938f48b,3786,26140,서구,,
20200331,2020,1,district,62f6a938f48b,6480,26170,동구,,
20200331,2020,1,district,62f6a938f48b,3845,26200,영도구,,
20200331,2020,1,district,62f6a938f48b,18688,26230,부산진구,,
20200331,2020,1,district,62f6a938f48b,11039,26260,동래구,,
20200331,2020,1,district,62f6a938f48b,8768,26290,남구,,
20200331,2020,1,district,62f6a938f48b,8279,26320,북구,,
20200331,2020,1,district,62f6a938f48b,15651,26350,해운대구,,
20200331,2020,1,district,62f6a938f48b,10493,26380,사하구,,
20200331,2020,1,district,62f6a938f48b,10043,26410,금정구,,
20200331,2020,1,district,62f6a938f48b,6011,26440,강서구,,
20200331,2020,1,district,62f6a938f48b,9196,26470,연제구,,
20200331,2020,1,district,62f6a938f48b,8202,26500,수영구,,
20200331,2020,1,district,62f6a938f48b,9634,26530,사상구,,
20200331,2020,1,district,62f6a938f48b,7064,26710,기장군,,
20200331,2020,1,lawDong,62f6a938f48b,295,26110,중구,2611010100,영주동
20200331,2020,1,lawDong,62f6a938f48b,58,26110,중구,2611010200,대창동1가
20200331,2020,1,lawDong,62f6a938f48b,51,26110,중구,2611010300,대창동2가
20200331,2020,1,lawDong,62f6a938f48b,55,26110,중구,2611010400,중앙동1가
20200331,2020,1,lawDong,62f6a938f48b,119,26110,중구,2611010500,중앙동2가
20200331,2020,1,lawDong,62f6a938f48b,113,26110,중구,2611010600,중앙동3가
20200331,2020,1,lawDong,62f6a938f48b,685,26110,중구,2611010700,중앙동4가
20200331,2020,1,lawDong,62f6a938f48b,62,26110,중구,2611010800,중앙동5가
20200331,2020,1,lawDong,62f6a938f48b,225,26110,중구,2611010900,중앙동6가
20200331,2020,1,lawDong,62f6a938f48b,378,26110,중구,2611011000,중앙동7가
20200331,2020,1,lawDong,62f6a938f48b,71,26110,중구,2611011100,동광동1가
20200331,2020,1,lawDong,62f6a938f48b,75,26110,중구,2611011200,동광동2가
20200331,2020,1,lawDong,62f6a938f48b,74,26110,중구,2611011300,동광동3가
20200331,2020,1,lawDong,62f6a938f48b,72,26110,중구,2611011400,동광동4가
20200331,2020,1,lawDong,62f6a938f48b,107,26110,중구,2611011500,동광동5가
20200331,2020,1,lawDong,62f6a938f48b,66,26110,중구,2611011600,대청동1가
20200331,2020,1,lawDong,62f6a938f48b,149,26110,중구,2611011700,대청동2가
20200331,2020,1,lawDong,62f6a938f48b,55,26110,중구,2611011800,대청동3가
20200331,2020,1,lawDong,62f6a938f48b,84,26110,중구,2611011900,대청동4가
20200331,2020,1,lawDong,62f6a938f48b,181,26110,중구,2611012000,보수동1가
20200331,2020,1,lawDong,62f6a938f48b,128,26110,중구,2611012100,보수동2가
20200331,2020,1,lawDong,62f6a938f48b,84,26110,중구,2611012200,보수동3가
20200331,2020,1,lawDong,62f6a938f48b,649,26110,중구,2611012300,부평동1가
20200331,2020,1,lawDong,62f6a938f48b,559,26110,중구,2611012400,부평동2가
20200331,2020,1,lawDong,62f6a938f48b,167,26110,중구,2611012500,부평동3가
20200331,2020,1,lawDong,62f6a938f48b,111,26110,중구,2611012600,부평동4가
20200331,2020,1,lawDong,62f6a938f48b,307,26110,중구,2611012700,신창동1가
20200331,2020,1,lawDong,62f6a938f48b,259,26110,중구,2611012800,신창동2가
20200331,2020,1,lawDong,62f6a938f48b,112,26110,중구,2611012900,신창동3가
20200331,2020,1,lawDong,62f6a938f48b,269,26110,중구,2611013000,신창동4가
20200331,2020,1,lawDong,62f6a938f48b,190,26110,중구,2611013100,창선동1가
20200331,2020,1,lawDong,62f6a938f48b,216,26110,중구,2611013200,창선동2가
20200331,2020,1,lawDong,62f6a938f48b,136,26110,중구,2611013300,광복동1가
20200331,2020,1,lawDong,62f6a938f48b,84,26110,중구,2611013400,광복동2가
20200331,2020,1,lawDong,62f6a938f48b,66,26110,중구,2611013500,광복동3가
20200331,2020,1,lawDong,62f6a938f48b,81,26110,중구,2611013600,남포동1가
20200331,2020,1,lawDong,62f6a938f48b,173,26110,중구,2611013700,남포동2가
