snapshot,signature,majorCode,majorName,middleCode,middleName
20200331,62f6a938f48b,G2,소매,G202,자동차 부품 소매
20200331,62f6a938f48b,G2,소매,G203,모터사이클 소매
20200331,62f6a938f48b,G2,소매,G204,종합 소매
20200331,62f6a938f48b,G2,소매,G205,식료품 소매
20200331,62f6a938f48b,G2,소매,G206,음료 소매
20200331,62f6a938f48b,G2,소매,G207,담배 소매
20200331,62f6a938f48b,G2,소매,G208,가전·통신 소매
20200331,62f6a938f48b,G2,소매,G209,섬유·의복·신발 소매
20200331,62f6a938f48b,G2,소매,G210,철물·건설자재 소매
20200331,62f6a938f48b,G2,소매,G211,가구 소매
20200331,62f6a938f48b,G2,소매,G212,기타 생활용품 소매
20200331,62f6a938f48b,G2,소매,G213,오락용품 소매
20200331,62f6a938f48b,G2,소매,G214,연료 소매
20200331,62f6a938f48b,G2,소매,G215,의약·화장품 소매
20200331,62f6a938f48b,G2,소매,G216,안경·정밀기기 소매
20200331,62f6a938f48b,G2,소매,G217,시계·귀금속 소매
20200331,62f6a938f48b,G2,소매,G218,장식품 소매
20200331,62f6a938f48b,G2,소매,G219,식물 소매
20200331,62f6a938f48b,G2,소매,G220,애완동물·용품 소매
20200331,62f6a938f48b,G2,소매,G221,기타 상품 소매
20200331,62f6a938f48b,G2,소매,G222,중고 상품 소매
20200331,62f6a938f48b,I1,숙박,I101,일반 숙박
20200331,62f6a938f48b,I1,숙박,I102,기타 숙박
20200331,62f6a938f48b,I2,음식,I201,한식
20200331,62f6a938f48b,I2,음식,I202,중식
20200331,62f6a938f48b,I2,음식,I203,일식
20200331,62f6a938f48b,I2,음식,I204,서양식
20200331,62f6a938f48b,I2,음식,I205,동남아시아
20200331,62f6a938f48b,I2,음식,I207,구내식당·뷔페
20200331,62f6a938f48b,I2,음식,I210,기타 간이
20200331,62f6a938f48b,I2,음식,I211,주점
20200331,62f6a938f48b,I2,음식,I212,비알코올 
20200331,62f6a938f48b,L1,부동산,L102,부동산 서비스
20200331,62f6a938f48b,M1,과학·기술,M103,법무관련 
20200331,62f6a938f48b,M1,과학·기술,M104,회계·세무
20200331,62f6a938f48b,M1,과학·기술,M105,광고
20200331,62f6a938f48b,M1,과학·기술,M106,시장 조사
20200331,62f6a938f48b,M1,과학·기술,M107,본사·경영 컨설팅
