기준년월,행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,year
202512,2611051000,중구 중앙동,20대,584,769,1042,2025
202512,2611051000,중구 중앙동,20대미만,258,45,385,2025
202512,2611051000,중구 중앙동,30대,509,1140,1257,2025
202512,2611051000,중구 중앙동,40대,684,1017,1221,2025
202512,2611051000,중구 중앙동,50대,764,1051,1353,2025
202512,2611051000,중구 중앙동,60대이상,1806,649,1827,2025
202512,2611052000,중구 동광동,20대,115,55,186,2025
202512,2611052000,중구 동광동,20대미만,56,8,52,2025
202512,2611052000,중구 동광동,30대,124,109,192,2025
202512,2611052000,중구 동광동,40대,169,138,215,2025
202512,2611052000,중구 동광동,50대,216,131,231,2025
202512,2611052000,중구 동광동,60대이상,996,89,420,2025
202512,2611053000,중구 대청동,20대,433,179,291,2025
202512,2611053000,중구 대청동,20대미만,225,52,134,2025
202512,2611053000,중구 대청동,30대,363,203,289,2025
202512,2611053000,중구 대청동,40대,451,213,285,2025
202512,2611053000,중구 대청동,50대,613,217,352,2025
202512,2611053000,중구 대청동,60대이상,2005,196,679,2025
202512,2611054500,중구 보수동,20대,927,91,216,2025
202512,2611054500,중구 보수동,20대미만,295,53,96,2025
202512,2611054500,중구 보수동,30대,530,71,142,2025
202512,2611054500,중구 보수동,40대,510,97,179,2025
202512,2611054500,중구 보수동,50대,1148,164,242,2025
202512,2611054500,중구 보수동,60대이상,2217,158,566,2025
202512,2611056000,중구 부평동,20대,311,103,839,2025
202512,2611056000,중구 부평동,20대미만,141,8,223,2025
202512,2611056000,중구 부평동,30대,260,207,766,2025
202512,2611056000,중구 부평동,40대,299,207,779,2025
202512,2611056000,중구 부평동,50대,489,274,1052,2025
202512,2611056000,중구 부평동,60대이상,1514,321,1947,2025
202512,2611057000,중구 광복동,20대,25,69,247,2025
202512,2611057000,중구 광복동,20대미만,24,22,155,2025
202512,2611057000,중구 광복동,30대,34,70,223,2025
202512,2611057000,중구 광복동,40대,57,93,253,2025
202512,2611057000,중구 광복동,50대,89,129,266,2025
202512,2611057000,중구 광복동,60대이상,311,261,491,2025
202512,2611058000,중구 남포동,20대,87,210,872,2025
202512,2611058000,중구 남포동,20대미만,48,10,486,2025
202512,2611058000,중구 남포동,30대,149,292,863,2025
202512,2611058000,중구 남포동,40대,176,309,949,2025
202512,2611058000,중구 남포동,50대,335,405,1341,2025
202512,2611058000,중구 남포동,60대이상,613,742,3129,2025
202512,2611059000,중구 영주1동,20대,61,19,63,2025
202512,2611059000,중구 영주1동,20대미만,25,0,11,2025
202512,2611059000,중구 영주1동,30대,63,24,54,2025
202512,2611059000,중구 영주1동,40대,54,17,47,2025
202512,2611059000,중구 영주1동,50대,68,19,67,2025
202512,2611059000,중구 영주1동,60대이상,236,28,123,2025
202512,2611060000,중구 영주2동,20대,316,37,119,2025
