기준년월,행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,year
202512,2611051000,중구 중앙동,00시,5665,322,3737,2025
202512,2611051000,중구 중앙동,01시,5763,293,3637,2025
202512,2611051000,중구 중앙동,02시,5817,279,3541,2025
202512,2611051000,중구 중앙동,03시,5860,273,3474,2025
202512,2611051000,중구 중앙동,04시,5880,283,3445,2025
202512,2611051000,중구 중앙동,05시,5873,313,3554,2025
202512,2611051000,중구 중앙동,06시,5782,474,3909,2025
202512,2611051000,중구 중앙동,07시,5530,1239,4425,2025
202512,2611051000,중구 중앙동,08시,4984,4631,5530,2025
202512,2611051000,중구 중앙동,09시,4013,9059,7000,2025
202512,2611051000,중구 중앙동,10시,3690,10027,8157,2025
202512,2611051000,중구 중앙동,11시,3483,10232,9877,2025
202512,2611051000,중구 중앙동,12시,3371,10018,11500,2025
202512,2611051000,중구 중앙동,13시,3299,10458,12021,2025
202512,2611051000,중구 중앙동,14시,3242,10413,11935,2025
202512,2611051000,중구 중앙동,15시,3269,10282,11365,2025
202512,2611051000,중구 중앙동,16시,3379,10016,10568,2025
202512,2611051000,중구 중앙동,17시,3581,9074,10009,2025
202512,2611051000,중구 중앙동,18시,3821,6328,9955,2025
202512,2611051000,중구 중앙동,19시,4064,3478,9070,2025
202512,2611051000,중구 중앙동,20시,4705,2066,7656,2025
202512,2611051000,중구 중앙동,21시,4966,1256,6078,2025
202512,2611051000,중구 중앙동,22시,5191,775,5041,2025
202512,2611051000,중구 중앙동,23시,5289,523,4582,2025
202512,2611052000,중구 동광동,00시,1978,40,869,2025
202512,2611052000,중구 동광동,01시,2009,35,831,2025
202512,2611052000,중구 동광동,02시,2027,32,796,2025
202512,2611052000,중구 동광동,03시,2037,32,787,2025
202512,2611052000,중구 동광동,04시,2042,32,785,2025
202512,2611052000,중구 동광동,05시,2007,36,799,2025
202512,2611052000,중구 동광동,06시,1955,54,858,2025
202512,2611052000,중구 동광동,07시,1881,147,950,2025
202512,2611052000,중구 동광동,08시,1741,488,1128,2025
202512,2611052000,중구 동광동,09시,1558,1053,1462,2025
202512,2611052000,중구 동광동,10시,1466,1139,1674,2025
202512,2611052000,중구 동광동,11시,1393,1162,1820,2025
202512,2611052000,중구 동광동,12시,1352,1097,1845,2025
202512,2611052000,중구 동광동,13시,1308,1184,1768,2025
202512,2611052000,중구 동광동,14시,1282,1182,1774,2025
202512,2611052000,중구 동광동,15시,1303,1183,1685,2025
202512,2611052000,중구 동광동,16시,1336,1166,1560,2025
202512,2611052000,중구 동광동,17시,1393,1048,1486,2025
202512,2611052000,중구 동광동,18시,1478,708,1588,2025
202512,2611052000,중구 동광동,19시,1548,378,1580,2025
202512,2611052000,중구 동광동,20시,1706,218,1518,2025
202512,2611052000,중구 동광동,21시,1781,157,1362,2025
202512,2611052000,중구 동광동,22시,1835,103,1166,2025
202512,2611052000,중구 동광동,23시,1855,69,1021,2025
202512,2611053000,중구 대청동,00시,4955,78,1007,2025
202512,2611053000,중구 대청동,01시,5010,70,992,2025
202512,2611053000,중구 대청동,02시,5060,69,983,2025
202512,2611053000,중구 대청동,03시,5094,70,980,2025
202512,2611053000,중구 대청동,04시,5111,74,980,2025
202512,2611053000,중구 대청동,05시,5099,82,1035,2025
202512,2611053000,중구 대청동,06시,5016,118,1140,2025
202512,2611053000,중구 대청동,07시,4825,313,1276,2025
202512,2611053000,중구 대청동,08시,4389,985,1542,2025
202512,2611053000,중구 대청동,09시,3610,2060,2076,2025
202512,2611053000,중구 대청동,10시,3375,2262,2588,2025
202512,2611053000,중구 대청동,11시,3216,2342,3041,2025
202512,2611053000,중구 대청동,12시,3114,2296,3315,2025
202512,2611053000,중구 대청동,13시,3033,2397,3534,2025
202512,2611053000,중구 대청동,14시,2959,2389,3769,2025
202512,2611053000,중구 대청동,15시,2959,2358,3699,2025
202512,2611053000,중구 대청동,16시,3062,2268,3358,2025
202512,2611053000,중구 대청동,17시,3224,2000,2956,2025
202512,2611053000,중구 대청동,18시,3443,1433,2627,2025
202512,2611053000,중구 대청동,19시,3659,896,2275,2025
202512,2611053000,중구 대청동,20시,4221,378,1791,2025
202512,2611053000,중구 대청동,21시,4425,248,1407,2025
202512,2611053000,중구 대청동,22시,4605,156,1200,2025
202512,2611053000,중구 대청동,23시,4722,109,1126,2025
202512,2611054500,중구 보수동,00시,6922,72,861,2025
