district,rawDong,residentCandidates,livingCandidates,commerceExactLawCode,commerceSnapshots,housingCandidateNames,aedOperatingEvidence,officialCaseEvidence,officialInspectionSites,candidateCodes,actualReceiptDongConfirmed
강서구,강동동,1,1,True,20,1,False,False,0,2644053000,False
강서구,구랑동,1,1,True,20,1,False,False,0,2644056000,False
강서구,녹산동,1,1,True,20,1,False,False,0,2644056000,False
강서구,눌차동,1,1,True,20,1,False,False,0,2644058000,False
강서구,대저1동,1,1,True,20,1,False,False,0,2644051000,False
강서구,대저2동,1,1,True,20,1,False,False,0,2644052000,False
강서구,대항동,1,1,True,20,1,False,False,0,2644058000,False
강서구,동선동,1,1,True,20,1,False,False,0,2644058000,False
강서구,명지동,2,2,True,20,2,False,False,0,2644053500|2644054500,False
강서구,미음동,1,1,True,20,1,False,False,0,2644056000,False
강서구,범방동,1,1,True,20,1,False,False,0,2644056000,False
강서구,봉림동,1,1,True,20,1,False,False,0,2644055000,False
강서구,생곡동,1,1,True,20,1,False,False,0,2644056000,False
강서구,성북동,1,1,True,20,1,False,False,0,2644058000,False
강서구,송정동,1,1,True,20,1,False,False,0,2644056000,False
강서구,식만동,1,1,True,20,1,False,False,0,2644055000,False
강서구,신호동,1,1,True,20,1,False,False,0,2644056000,False
강서구,죽동동,1,1,True,20,1,False,False,0,2644055000,False
강서구,죽림동,1,1,True,20,1,False,False,0,2644055000,False
강서구,지사동,1,1,True,20,1,False,False,0,2644056000,False
강서구,천성동,1,1,True,20,1,False,False,0,2644058000,False
강서구,화전동,1,1,True,20,1,False,False,0,2644056000,False
금정구,구서동,2,2,True,20,0,False,False,0,2641068000|2641069000,False
금정구,금사동,1,1,True,20,1,False,False,0,2641055500,False
금정구,금성동,1,1,True,20,1,False,True,0,2641070000,False
금정구,남산동,1,1,True,20,1,False,False,0,2641067000,False
금정구,노포동,1,1,True,20,1,False,False,0,2641066500,False
금정구,두구동,1,1,True,20,1,False,False,0,2641063500,False
금정구,부곡동,4,4,True,20,0,False,False,0,2641057000|2641058000|2641059000|2641059100,False
금정구,서동,3,3,True,20,0,False,False,0,2641051000|2641052000|2641053000,False
금정구,선동,1,1,True,20,1,False,False,0,2641063500,False
금정구,오륜동,1,1,True,20,0,False,False,0,2641059000,False
금정구,장전동,2,2,True,20,0,False,False,0,2641060000|2641061000,False
금정구,청룡동,1,1,True,20,1,False,False,0,2641066500,False
금정구,회동동,1,1,True,20,1,False,False,0,2641055500,False
기장군,기장읍,1,1,False,0,1,True,True,0,2671025000,False
기장군,일광면,0,0,False,0,0,False,False,0,,False
기장군,일광읍,1,1,False,0,1,False,False,0,2671025900,False
기장군,장안읍,1,1,False,0,1,False,False,0,2671025300,False
기장군,정관면,0,0,False,0,0,False,False,0,,False
기장군,정관읍,1,1,False,0,1,False,False,0,2671025600,False
