year,CLMTY_SGG_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,신고건수
2020,부산진구,구급,U안심폰대상자,1
2020,부산진구,구급,교통사고,696
2020,부산진구,구급,구급기타,28
2020,부산진구,구급,부상,875
2020,부산진구,구급,사고부상,103
2020,부산진구,구급,심정지,212
2020,부산진구,구급,약물중독,38
2020,부산진구,구급,임산부,25
2020,부산진구,구급,질병,4371
2020,부산진구,구급,질병외,2968
2020,부산진구,구급,행려병자,5
2020,부산진구,구급,화상,9
2020,부산진구,구조,E/V사고,133
2020,부산진구,구조,교통사고,65
2020,부산진구,구조,기계사고,2
2020,부산진구,구조,기타안전사고,128
2020,부산진구,구조,동물구조,143
2020,부산진구,구조,벌집제거,157
2020,부산진구,구조,산악사고,21
2020,부산진구,구조,시건개방,248
2020,부산진구,구조,약물사고,1
2020,부산진구,구조,자살,30
2020,부산진구,구조,자연재해,135
2020,부산진구,구조,추락사고,12
2020,부산진구,기타,기타출동,340
2020,부산진구,기타,대민지원,5
2020,부산진구,기타,민원출동,24
2020,부산진구,기타,상황출동,44
2020,부산진구,기타,순찰출동,2
2020,부산진구,기타,예방경계,1
2020,부산진구,기타,지원출동(가스),1
2020,부산진구,기타,지원출동(배수),10
2020,부산진구,기타,지원출동(풍수해),2
2020,부산진구,기타,화재확인출동,205
2020,부산진구,화재,"고층건물(3층이상,아파트)",66
2020,부산진구,화재,기타화재,86
2020,부산진구,화재,"대형화재(시장,공장)",15
2020,부산진구,화재,일반화재(주택),53
2020,부산진구,화재,일반화재(차량),13
2020,부산진구,화재,지하화재,2
2020,중구,구급,U안심폰대상자,2
2020,중구,구급,교통사고,150
2020,중구,구급,구급기타,4
2020,중구,구급,부상,209
2020,중구,구급,사고부상,28
2020,중구,구급,심정지,50
2020,중구,구급,약물중독,9
2020,중구,구급,임산부,1
2020,중구,구급,질병,1015
2020,중구,구급,질병외,741
2020,중구,구급,행려병자,2
2020,중구,구급,화상,1
2020,중구,구조,E/V사고,32
2020,중구,구조,교통사고,21
2020,중구,구조,기계사고,2
2020,중구,구조,기타안전사고,28
2020,중구,구조,동물구조,43
2020,중구,구조,벌집제거,17
2020,중구,구조,수난사고,5
2020,중구,구조,시건개방,53
2020,중구,구조,자살,4
2020,중구,구조,자연재해,37
2020,중구,구조,추락사고,1
2020,중구,기타,기타출동,110
2020,중구,기타,대민지원,4
2020,중구,기타,민원출동,13
2020,중구,기타,상황출동,15
2020,중구,기타,지원출동(배수),1
2020,중구,기타,지원출동(전기),1
2020,중구,기타,화재확인출동,59
2020,중구,화재,"고층건물(3층이상,아파트)",10
2020,중구,화재,기타화재,26
2020,중구,화재,"대형화재(시장,공장)",3
2020,중구,화재,일반화재(주택),14
2020,중구,화재,일반화재(차량),5
2020,중구,화재,지하화재,1
2021,부산진구,구급,U안심폰대상자,5
2021,부산진구,구급,가스중독,1
2021,부산진구,구급,교통사고,730
2021,부산진구,구급,구급기타,199
2021,부산진구,구급,부상,940
2021,부산진구,구급,사고부상,60
2021,부산진구,구급,심정지,233
2021,부산진구,구급,약물중독,30
2021,부산진구,구급,임산부,11
2021,부산진구,구급,질병,4505
2021,부산진구,구급,질병외,3780
2021,부산진구,구급,행려병자,3
2021,부산진구,구급,화상,11
2021,부산진구,구급,흉통,1
2021,부산진구,구조,E/V사고,149
2021,부산진구,구조,교통사고,56
2021,부산진구,구조,기계사고,3
2021,부산진구,구조,기타안전사고,113
2021,부산진구,구조,동물구조,155
2021,부산진구,구조,벌집제거,245
2021,부산진구,구조,산악사고,37
2021,부산진구,구조,시건개방,241
2021,부산진구,구조,실종자,1
2021,부산진구,구조,자살,31
2021,부산진구,구조,자연재해,70
2021,부산진구,구조,추락사고,12
2021,부산진구,기타,기타출동,337
2021,부산진구,기타,대민지원,1
2021,부산진구,기타,민원출동,23
2021,부산진구,기타,상황출동,9
2021,부산진구,기타,지원출동(배수),10
2021,부산진구,기타,화재확인출동,373
2021,부산진구,화재,"고층건물(3층이상,아파트)",66
2021,부산진구,화재,기타화재,72
2021,부산진구,화재,"대형화재(시장,공장)",15
2021,부산진구,화재,산불,1
2021,부산진구,화재,일반화재(주택),58
2021,부산진구,화재,일반화재(차량),9
2021,부산진구,화재,지하화재,1
2021,중구,구급,U안심폰대상자,6
2021,중구,구급,교통사고,176
2021,중구,구급,구급기타,60
2021,중구,구급,부상,239
2021,중구,구급,사고부상,20
2021,중구,구급,심정지,41
2021,중구,구급,약물중독,6
2021,중구,구급,임산부,1
2021,중구,구급,질병,909
2021,중구,구급,질병외,913
2021,중구,구급,흉통,2
2021,중구,구조,E/V사고,30
2021,중구,구조,교통사고,15
2021,중구,구조,기계사고,1
2021,중구,구조,기타안전사고,45
2021,중구,구조,동물구조,40
2021,중구,구조,벌집제거,29
2021,중구,구조,수난사고,5
2021,중구,구조,시건개방,74
2021,중구,구조,자살,5
2021,중구,구조,자연재해,27
2021,중구,기타,기타출동,95
2021,중구,기타,대민지원,2
2021,중구,기타,민원출동,8
2021,중구,기타,상황출동,2
2021,중구,기타,순찰출동,2
2021,중구,기타,예방경계,1
2021,중구,기타,지원출동(근접배치),3
2021,중구,기타,지원출동(배수),3
2021,중구,기타,화재확인출동,105
2021,중구,화재,"고층건물(3층이상,아파트)",10
2021,중구,화재,기타화재,16
2021,중구,화재,"대형화재(시장,공장)",2
2021,중구,화재,일반화재(주택),22
2021,중구,화재,일반화재(차량),4
2021,중구,화재,지하화재,1
2021,중구,화재,"특수화재(선박,위험물)",1
2022,부산진구,구급,U안심폰대상자,18
2022,부산진구,구급,가스중독,1
2022,부산진구,구급,교통사고,604
2022,부산진구,구급,구급기타,248
2022,부산진구,구급,부상,1037
2022,부산진구,구급,사고부상,41
2022,부산진구,구급,심정지,284
2022,부산진구,구급,약물중독,39
2022,부산진구,구급,임산부,27
2022,부산진구,구급,질병,4894
2022,부산진구,구급,질병외,5038
2022,부산진구,구급,행려병자,7
2022,부산진구,구급,화상,18
2022,부산진구,구급,흉통,4
2022,부산진구,구조,E/V사고,178
2022,부산진구,구조,교통사고,67
2022,부산진구,구조,기계사고,1
2022,부산진구,구조,기타안전사고,148
2022,부산진구,구조,동물구조,129
2022,부산진구,구조,벌집제거,191
2022,부산진구,구조,산악사고,21
2022,부산진구,구조,시건개방,279
2022,부산진구,구조,실종자,3
2022,부산진구,구조,자살,29
2022,부산진구,구조,자연재해,26
2022,부산진구,구조,추락사고,7
2022,부산진구,기타,기타출동,273
2022,부산진구,기타,대민지원,3
2022,부산진구,기타,민원출동,20
2022,부산진구,기타,산사태,1
2022,부산진구,기타,상황출동,38
2022,부산진구,기타,응원출동,1
2022,부산진구,기타,지원출동(근접배치),1
2022,부산진구,기타,지원출동(배수),4
2022,부산진구,기타,화재확인출동,372
2022,부산진구,화재,"고층건물(3층이상,아파트)",61
2022,부산진구,화재,기타화재,109
2022,부산진구,화재,기타화재(속보설비),2
2022,부산진구,화재,"대형화재(시장,공장)",8
2022,부산진구,화재,산불,2
2022,부산진구,화재,일반화재(주택),33
2022,부산진구,화재,일반화재(차량),16
2022,부산진구,화재,지하화재,1
2022,중구,구급,U안심폰대상자,4
2022,중구,구급,교통사고,200
2022,중구,구급,구급기타,47
2022,중구,구급,부상,293
2022,중구,구급,사고부상,14
2022,중구,구급,심정지,72
2022,중구,구급,약물중독,11
2022,중구,구급,임산부,4
2022,중구,구급,질병,1038
2022,중구,구급,질병외,1163
2022,중구,구급,행려병자,4
2022,중구,구급,화상,6
2022,중구,구조,E/V사고,42
2022,중구,구조,교통사고,13
2022,중구,구조,기계사고,2
2022,중구,구조,기타안전사고,49
2022,중구,구조,동물구조,32
2022,중구,구조,벌집제거,49
2022,중구,구조,수난사고,6
2022,중구,구조,시건개방,63
2022,중구,구조,자살,4
2022,중구,구조,자연재해,9
2022,중구,구조,추락사고,3
2022,중구,기타,기타출동,66
2022,중구,기타,대민지원,3
2022,중구,기타,민원출동,9
2022,중구,기타,상황출동,13
2022,중구,기타,지원출동(배수),3
2022,중구,기타,지원출동(풍수해),1
2022,중구,기타,화재확인출동,131
2022,중구,화재,"고층건물(3층이상,아파트)",17
2022,중구,화재,기타화재,32
2022,중구,화재,"대형화재(시장,공장)",4
2022,중구,화재,일반화재(주택),20
2022,중구,화재,일반화재(차량),4
2022,중구,화재,지하화재,2
2023,부산진구,구급,U안심폰대상자,75
2023,부산진구,구급,교통사고,599
2023,부산진구,구급,구급기타,60
2023,부산진구,구급,무선페이징,1
2023,부산진구,구급,부상,1069
2023,부산진구,구급,사고부상,26
2023,부산진구,구급,심정지,278
2023,부산진구,구급,약물중독,48
2023,부산진구,구급,응급신경증상(뇌졸중),1
2023,부산진구,구급,임산부,22
2023,부산진구,구급,질병,4432
2023,부산진구,구급,질병외,5051
2023,부산진구,구급,행려병자,4
2023,부산진구,구급,화상,8
2023,부산진구,구급,흉통,11
2023,부산진구,구조,E/V사고,210
2023,부산진구,구조,교통사고,51
2023,부산진구,구조,기계사고,4
2023,부산진구,구조,기타안전사고,152
2023,부산진구,구조,동물구조,163
2023,부산진구,구조,벌집제거,240
2023,부산진구,구조,산악사고,21
2023,부산진구,구조,수난사고,1
2023,부산진구,구조,시건개방,266
2023,부산진구,구조,실종자,1
2023,부산진구,구조,자살,32
2023,부산진구,구조,자연재해,55
2023,부산진구,구조,추락사고,1
2023,부산진구,기타,기타출동,124
2023,부산진구,기타,대민지원,5
2023,부산진구,기타,민원출동,25
2023,부산진구,기타,상황출동,49
2023,부산진구,기타,지원출동(가스),1
2023,부산진구,기타,지원출동(근접배치),3
2023,부산진구,기타,지원출동(기타),1
2023,부산진구,기타,지원출동(배수),12
2023,부산진구,기타,지원출동(재해),1
2023,부산진구,기타,화재확인출동,557
2023,부산진구,화재,"고층건물(3층이상,아파트)",82
2023,부산진구,화재,기타화재,71
2023,부산진구,화재,기타화재(속보설비),1
2023,부산진구,화재,"대형화재(시장,공장)",8
2023,부산진구,화재,"사회적약자시설(요양원,장애인시설)",1
2023,부산진구,화재,산불,2
2023,부산진구,화재,일반화재(주택),44
2023,부산진구,화재,일반화재(차량),12
2023,부산진구,화재,지하화재,1
2023,중구,구급,U안심폰대상자,28
2023,중구,구급,교통사고,124
2023,중구,구급,구급기타,12
2023,중구,구급,무선페이징,1
2023,중구,구급,부상,278
2023,중구,구급,사고부상,13
2023,중구,구급,심정지,47
2023,중구,구급,약물중독,4
2023,중구,구급,임산부,3
2023,중구,구급,질병,855
2023,중구,구급,질병외,1141
2023,중구,구급,행려병자,1
2023,중구,구급,화상,3
2023,중구,구급,흉통,4
2023,중구,구조,E/V사고,53
2023,중구,구조,교통사고,10
2023,중구,구조,기계사고,2
2023,중구,구조,기타안전사고,44
2023,중구,구조,동물구조,24
2023,중구,구조,벌집제거,44
2023,중구,구조,수난사고,8
2023,중구,구조,시건개방,60
2023,중구,구조,자살,5
2023,중구,구조,자연재해,11
2023,중구,구조,추락사고,1
2023,중구,기타,기타출동,36
2023,중구,기타,대민지원,2
2023,중구,기타,민원출동,6
2023,중구,기타,상황출동,11
2023,중구,기타,지원출동(배수),4
2023,중구,기타,화재확인출동,167
2023,중구,화재,"고층건물(3층이상,아파트)",19
2023,중구,화재,기타화재,25
2023,중구,화재,기타화재(속보설비),2
2023,중구,화재,"대형화재(시장,공장)",6
2023,중구,화재,일반화재(주택),12
2023,중구,화재,일반화재(차량),3
2024,부산진구,구급,U안심폰대상자,100
2024,부산진구,구급,교통사고,535
2024,부산진구,구급,구급기타,7
2024,부산진구,구급,부상,973
2024,부산진구,구급,사고부상,12
2024,부산진구,구급,심정지,305
2024,부산진구,구급,약물중독,46
2024,부산진구,구급,응급신경증상(뇌졸중),4
2024,부산진구,구급,임산부,27
2024,부산진구,구급,질병,3237
2024,부산진구,구급,질병외,5584
2024,부산진구,구급,행려병자,17
2024,부산진구,구급,화상,10
2024,부산진구,구급,흉통,12
2024,부산진구,구조,E/V사고,214
2024,부산진구,구조,교통사고,74
2024,부산진구,구조,기계사고,3
2024,부산진구,구조,기타안전사고,150
2024,부산진구,구조,동물구조,149
2024,부산진구,구조,벌집제거,410
2024,부산진구,구조,산악사고,13
2024,부산진구,구조,수난사고,2
2024,부산진구,구조,시건개방,263
2024,부산진구,구조,실종자,2
2024,부산진구,구조,약물사고,1
2024,부산진구,구조,자살,35
2024,부산진구,구조,자연재해,23
2024,부산진구,구조,추락사고,11
2024,부산진구,기타,기타출동,129
2024,부산진구,기타,대민지원,2
2024,부산진구,기타,민원출동,20
2024,부산진구,기타,상황출동,35
2024,부산진구,기타,지원출동(근접배치),2
2024,부산진구,기타,지원출동(기타),1
2024,부산진구,기타,지원출동(배수),15
2024,부산진구,기타,지원출동(전기),1
2024,부산진구,기타,화재확인출동,604
2024,부산진구,화재,"고층건물(3층이상,아파트)",69
2024,부산진구,화재,기타화재,95
2024,부산진구,화재,기타화재(속보설비),6
2024,부산진구,화재,"대형화재(시장,공장)",6
2024,부산진구,화재,산불,1
2024,부산진구,화재,일반화재(주택),47
2024,부산진구,화재,일반화재(차량),11
2024,부산진구,화재,전기차화재,1
2024,중구,구급,U안심폰대상자,37
2024,중구,구급,교통사고,96
2024,중구,구급,구급기타,1
2024,중구,구급,부상,180
2024,중구,구급,사고부상,2
2024,중구,구급,심정지,61
2024,중구,구급,약물중독,5
2024,중구,구급,응급신경증상(뇌졸중),2
2024,중구,구급,임산부,3
2024,중구,구급,질병,584
2024,중구,구급,질병외,1038
2024,중구,구급,행려병자,2
2024,중구,구급,흉통,2
2024,중구,구조,E/V사고,36
2024,중구,구조,교통사고,10
2024,중구,구조,기계사고,2
2024,중구,구조,기타안전사고,37
2024,중구,구조,동물구조,38
2024,중구,구조,벌집제거,51
2024,중구,구조,수난사고,3
2024,중구,구조,시건개방,50
2024,중구,구조,자살,7
2024,중구,구조,자연재해,9
2024,중구,구조,추락사고,3
2024,중구,기타,기타출동,18
2024,중구,기타,민원출동,7
2024,중구,기타,상황출동,10
2024,중구,기타,지원출동(근접배치),1
2024,중구,기타,지원출동(배수),2
2024,중구,기타,지원출동(전기),1
2024,중구,기타,화재확인출동,154
2024,중구,화재,"고층건물(3층이상,아파트)",14
2024,중구,화재,기타화재,19
2024,중구,화재,기타화재(속보설비),2
2024,중구,화재,"대형화재(시장,공장)",2
2024,중구,화재,산불,1
2024,중구,화재,일반화재(주택),15
2024,중구,화재,일반화재(차량),2
2024,중구,화재,지하화재,3
