지역,연도,월,신고건수,일평균
부산진구,2020,1,1065,34.354838709677416
부산진구,2020,2,879,30.310344827586206
부산진구,2020,3,777,25.06451612903226
부산진구,2020,4,758,25.266666666666666
부산진구,2020,5,883,28.483870967741936
부산진구,2020,6,953,31.766666666666666
부산진구,2020,7,1013,32.67741935483871
부산진구,2020,8,1108,35.74193548387097
부산진구,2020,9,1114,37.13333333333333
부산진구,2020,10,983,31.70967741935484
부산진구,2020,11,915,30.5
부산진구,2020,12,827,26.677419354838708
부산진구,2021,1,912,29.419354838709676
부산진구,2021,2,892,31.857142857142858
부산진구,2021,3,951,30.677419354838708
부산진구,2021,4,887,29.566666666666666
부산진구,2021,5,1002,32.32258064516129
부산진구,2021,6,1121,37.36666666666667
부산진구,2021,7,1120,36.12903225806452
부산진구,2021,8,1207,38.935483870967744
부산진구,2021,9,1193,39.766666666666666
부산진구,2021,10,1112,35.87096774193548
부산진구,2021,11,1110,37.0
부산진구,2021,12,1090,35.16129032258065
부산진구,2022,1,1052,33.935483870967744
부산진구,2022,2,972,34.714285714285715
부산진구,2022,3,1382,44.58064516129032
부산진구,2022,4,1179,39.3
부산진구,2022,5,1121,36.16129032258065
부산진구,2022,6,1096,36.53333333333333
부산진구,2022,7,1311,42.29032258064516
부산진구,2022,8,1426,46.0
부산진구,2022,9,1231,41.03333333333333
부산진구,2022,10,1155,37.25806451612903
부산진구,2022,11,1130,37.666666666666664
부산진구,2022,12,1229,39.645161290322584
부산진구,2023,1,1195,38.54838709677419
부산진구,2023,2,972,34.714285714285715
부산진구,2023,3,1030,33.225806451612904
부산진구,2023,4,1077,35.9
부산진구,2023,5,1206,38.903225806451616
부산진구,2023,6,1125,37.5
부산진구,2023,7,1337,43.12903225806452
부산진구,2023,8,1357,43.774193548387096
부산진구,2023,9,1196,39.86666666666667
부산진구,2023,10,1129,36.41935483870968
부산진구,2023,11,1035,34.5
부산진구,2023,12,1223,39.45161290322581
부산진구,2024,1,1022,32.96774193548387
부산진구,2024,2,929,32.03448275862069
부산진구,2024,3,968,31.225806451612904
부산진구,2024,4,1071,35.7
부산진구,2024,5,1015,32.74193548387097
부산진구,2024,6,1129,37.63333333333333
부산진구,2024,7,1354,43.67741935483871
부산진구,2024,8,1408,45.41935483870968
부산진구,2024,9,1216,40.53333333333333
부산진구,2024,10,1086,35.03225806451613
부산진구,2024,11,968,32.266666666666666
부산진구,2024,12,1098,35.41935483870968
중구,2020,1,278,8.96774193548387
중구,2020,2,193,6.655172413793103
중구,2020,3,184,5.935483870967742
중구,2020,4,192,6.4
중구,2020,5,204,6.580645161290323
중구,2020,6,232,7.733333333333333
중구,2020,7,234,7.548387096774194
중구,2020,8,286,9.225806451612904
중구,2020,9,260,8.666666666666666
중구,2020,10,234,7.548387096774194
중구,2020,11,232,7.733333333333333
중구,2020,12,188,6.064516129032258
중구,2021,1,231,7.451612903225806
중구,2021,2,202,7.214285714285714
중구,2021,3,217,7.0
중구,2021,4,206,6.866666666666666
중구,2021,5,216,6.967741935483871
중구,2021,6,229,7.633333333333334
중구,2021,7,268,8.64516129032258
중구,2021,8,262,8.451612903225806
중구,2021,9,295,9.833333333333334
중구,2021,10,270,8.709677419354838
중구,2021,11,275,9.166666666666666
중구,2021,12,250,8.064516129032258
중구,2022,1,251,8.096774193548388
중구,2022,2,218,7.785714285714286
중구,2022,3,265,8.548387096774194
중구,2022,4,277,9.233333333333333
중구,2022,5,310,10.0
중구,2022,6,289,9.633333333333333
중구,2022,7,342,11.03225806451613
중구,2022,8,292,9.419354838709678
중구,2022,9,293,9.766666666666667
중구,2022,10,308,9.935483870967742
중구,2022,11,271,9.033333333333333
중구,2022,12,317,10.225806451612904
중구,2023,1,312,10.064516129032258
중구,2023,2,236,8.428571428571429
중구,2023,3,252,8.129032258064516
중구,2023,4,256,8.533333333333333
중구,2023,5,286,9.225806451612904
중구,2023,6,294,9.8
중구,2023,7,360,11.612903225806452
중구,2023,8,270,8.709677419354838
중구,2023,9,211,7.033333333333333
중구,2023,10,198,6.387096774193548
중구,2023,11,177,5.9
중구,2023,12,217,7.0
중구,2024,1,161,5.193548387096774
중구,2024,2,142,4.896551724137931
중구,2024,3,181,5.838709677419355
중구,2024,4,203,6.766666666666667
중구,2024,5,210,6.774193548387097
중구,2024,6,216,7.2
중구,2024,7,251,8.096774193548388
중구,2024,8,258,8.32258064516129
중구,2024,9,213,7.1
중구,2024,10,232,7.483870967741935
중구,2024,11,223,7.433333333333334
중구,2024,12,220,7.096774193548387
