연번,소방관서 구분,관서명,도로명 주소,X좌표,Y좌표,출동가능 인원수,소방차량 유형,차량 대수(대),지역
1,,부산소방재난본부,부산 연제구 고분로 216(연산동),129.10612465927548,35.18354484463707,0,"장비운반차, 지휘차, 이동정비차",15,연제구
2,,119안전체험관,부산 동래구 우장춘로  117(온천동  330) ,129.0742373705551,35.217899793669666,0,해당없음,0,동래구
3,,119특수대응단,부산 해운대구 해운대로 913,129.18613079501733,35.17736323415672,0,"화생방 분석차, 화생방 장비운반차, 지휘차, 구조공작차, 구조버스, 구조견차, 회복지원차, 트레일러, 유조차, 장비운반차",34,해운대구
4,,부산소방학교,부산광역시 북구 효열로 256 (금곡동),129.02278259208143,35.26760516078413,0,"펌프차, 구급차, 트레일러, 장비운반차",8,북구
5,소방서,중부소방서,부산 중구 중앙대로 110,129.0367199100186,35.10710525683853,0,"장비운반차, 지휘차, 화재조사차",6,중구
6,119안전센터,중앙119안전센터,부산 중구 중앙대로 110,129.0367199100186,35.10710525683853,54,"펌프차, 물탱크차, 화학차, 사다리차, 굴절차, 구급차, 배연차, 배수지원차",10,중구
7,119안전센터,부민119안전센터,부산 서구 임시수도기념로 21-4,129.01858847013494,35.103222394801634,42,"펌프차, 물탱크차, 구급차",4,서구
8,119안전센터,충무119안전센터,부산 서구 충무대로 186,129.0247722926633,35.087104928147085,32,"펌프차, 물탱크차, 구급차",3,서구
9,119안전센터,창선119안전센터,부산 중구 대청로 68-1,129.02733637348084,35.102841995670126,24,"펌프차, 구급차",2,중구
10,119안전센터,초량119안전센터,부산 동구 중앙대로260번길 7,129.04320198302315,35.11978977729997,27,"펌프차, 구급차",3,동구
11,구조대,구조대,부산 중구 중앙대로 110,129.0367199100186,35.10710525683853,25,"구조공작차, 구조버스, 생활안전차, 트레일러",5,중구
12,소방서,부산진소방서,부산 부산진구 서전로 43,129.06463013547474,35.15806781518463,0,"장비운반차, 지휘차, 화재조사차",6,부산진구
13,119안전센터,부전119안전센터,부산 부산진구 서전로 43,129.06463013547474,35.15806781518463,55,"펌프차, 물탱크차, 굴절차, 구급차, 트레일러",7,부산진구
14,119안전센터,범일119안전센터,부산 동구 범일로 115,129.05903496911722,35.14043237050729,42,"펌프차, 물탱크차, 사다리차, 구급차, 배연차",6,동구
15,119안전센터,수정119안전센터,부산 동구 중앙대로 383-1,129.0492148737673,35.129612772216646,30,"펌프차, 물탱크차, 구급차",3,동구
16,119안전센터,가야119안전센터,부산 부산진구 가야대로 627,129.04038975651457,35.155745807055624,30,"펌프차, 물탱크차, 구급차",3,부산진구
17,119안전센터,부암119안전센터,부산 부산진구 신천대로 282,129.0507234295942,35.166902088179,40,"펌프차, 물탱크차, 구급차",4,부산진구
18,119안전센터,당감119안전센터,부산 부산진구 백양산로53번길 65,129.02852412309664,35.171683322685,30,"펌프차, 물탱크차, 화학차, 구급차, 배수지원차",5,부산진구
19,119안전센터,안창119안전센터,부산 동구 안창로 62,129.04175430855312,35.146027115501525,25,"펌프차, 구급차",4,동구
20,구조대,구조대,부산 동구 범일로 115,129.05903496911722,35.14043237050729,24,"구조공작차, 구조버스, 생활안전차, 트레일러",4,동구
21,소방서,동래소방서,부산 연제구 고분로 216,129.10612465927548,35.18354484463707,0,"장비운반차, 지휘차, 화재조사차",6,연제구
22,119안전센터,연산119안전센터,부산 연제구 고분로 216,129.10612465927548,35.18354484463707,58,"펌프차, 물탱크차, 화학차, 사다리차, 소형사다리차, 구급차, 배수지원차, 트레일러",12,연제구
23,119안전센터,수안119안전센터,부산 동래구 명륜로45번길 7,129.08380743824864,35.198147184336904,47,"펌프차, 물탱크차, 굴절차, 구급차, 배연차",6,동래구
