연도,지역,지역코드,연말인구,65세이상,75세이상,85세이상,65세이상비율,75세이상비율,85세이상비율,신고건수,연말주민1천명대비신고
2020,부산 전체,2600000000,3391946,657711,256008,53325,19.390373549578914,7.54752581556428,1.5721063955617218,99661,29.38165878820005
2020,부산진구,2623000000,359886,70896,28314,5747,19.699571530984812,7.867491372267884,1.596894572170076,11275,31.329365410157664
2020,중구,2611000000,41523,11315,4821,1108,27.24995785468295,11.610432772198541,2.668400645425427,2717,65.43361510488162
2021,부산 전체,2600000000,3350380,681885,262667,55026,20.35246748130063,7.839916666169211,1.6423808642601734,113037,33.738560999050854
2021,부산진구,2623000000,353159,72339,28518,5819,20.48340832316322,8.075116307385626,1.6476997612973192,12597,35.669485982234626
2021,중구,2611000000,40524,11206,4672,999,27.652748988253872,11.528970486625209,2.465205803968019,2921,72.08074227618201
2022,부산 전체,2600000000,3317812,712412,276564,58128,21.472343821771698,8.335734514191884,1.7519980035035139,126252,38.05278900673094
2022,부산진구,2623000000,355917,75685,29995,6247,21.26478926266517,8.427526642447537,1.7551844952615359,14284,40.13295234563114
2022,중구,2611000000,39689,11468,4771,1016,28.894655950011337,12.02096298722568,2.559903247751266,3433,86.49751820403638
2023,부산 전체,2600000000,3293362,745199,293259,62791,22.627303041694173,8.90454799684942,1.9065927158933638,120187,36.493710682275434
2023,부산진구,2623000000,359508,79321,31844,6823,22.06376492317278,8.857661025623909,1.89787153554302,13882,38.61388341844966
2023,중구,2611000000,38619,11866,5008,1137,30.7258085398379,12.967710194463866,2.944146663559388,3069,79.46865532509905
2024,부산 전체,2600000000,3266598,780576,309467,68661,23.89568597054183,9.473678732430498,2.101911529977059,115525,35.36553931643869
2024,부산진구,2623000000,359281,82839,33427,7455,23.056883052541046,9.303859653029246,2.0749775245559885,13264,36.918178250450204
2024,중구,2611000000,37537,12167,5202,1235,32.413352159202915,13.858326451234781,3.2900871140474734,2510,66.86735754055998
