dataYear,districtCode,district,category,designatedSiteRecords,designatedLawDongCount,zeroMeaning
2020,26110,중구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26110,중구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26140,서구,보행노인,4,3,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26140,서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26170,동구,보행노인,5,4,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26170,동구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26200,영도구,보행노인,4,4,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26230,부산진구,보행노인,6,4,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26230,부산진구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26260,동래구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26260,동래구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26290,남구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26320,북구,보행노인,4,3,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26320,북구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26350,해운대구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26380,사하구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26410,금정구,보행노인,6,4,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26410,금정구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26440,강서구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26470,연제구,보행노인,8,2,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26500,수영구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26500,수영구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26530,사상구,보행노인,7,3,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2020,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2020,26710,기장군,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26110,중구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26110,중구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26140,서구,보행노인,4,4,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26140,서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26170,동구,보행노인,5,3,공식 지정지점 기록 수; 사고건수 합계 아님
