district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
연제구,2024,전체,908,심폐소생술 교육 경험률,29.0,1.9,6.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,4,206
연제구,2024,전체,908,마네킹 실습 경험률,27.1,1.9,7.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,6,206
연제구,2024,전체,908,AED 실습 경험률,18.5,1.7,9.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,8,206
연제구,2024,남자,375,심폐소생술 교육 경험률,37.1,3.0,8.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,4,206
연제구,2024,남자,375,마네킹 실습 경험률,33.9,3.1,9.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,6,206
연제구,2024,남자,375,AED 실습 경험률,22.3,2.7,12.3,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,8,206
연제구,2024,여자,533,심폐소생술 교육 경험률,21.8,1.9,8.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,4,206
연제구,2024,여자,533,마네킹 실습 경험률,20.9,1.9,9.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,6,206
연제구,2024,여자,533,AED 실습 경험률,15.1,1.7,11.3,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,8,206
연제구,2024,19-29,92,심폐소생술 교육 경험률,48.8,5.8,11.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,4,206
연제구,2024,19-29,92,마네킹 실습 경험률,47.8,5.9,12.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,6,206
연제구,2024,19-29,92,AED 실습 경험률,30.6,4.9,15.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,8,206
연제구,2024,30-39,107,심폐소생술 교육 경험률,40.9,5.4,13.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,4,206
연제구,2024,30-39,107,마네킹 실습 경험률,37.0,5.2,14.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,6,206
연제구,2024,30-39,107,AED 실습 경험률,26.5,5.1,19.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,8,206
연제구,2024,40-49,121,심폐소생술 교육 경험률,32.1,3.6,11.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,4,206
연제구,2024,40-49,121,마네킹 실습 경험률,29.1,3.6,12.3,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,6,206
연제구,2024,40-49,121,AED 실습 경험률,21.5,3.6,16.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",13,8,206
연제구,2024,50-59,174,심폐소생술 교육 경험률,34.0,4.0,11.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,4,206
연제구,2024,50-59,174,마네킹 실습 경험률,31.9,4.0,12.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,6,206
연제구,2024,50-59,174,AED 실습 경험률,21.7,3.6,16.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",14,8,206
연제구,2024,60-69,203,심폐소생술 교육 경험률,16.8,2.5,15.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,4,206
연제구,2024,60-69,203,마네킹 실습 경험률,16.0,2.5,15.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,6,206
연제구,2024,60-69,203,AED 실습 경험률,10.5,2.2,21.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,8,206
