snapshot,category,shops,denominatorShops,sharePct
20240331,음식,53184,150215,35.40525247145758
20240331,소매,38112,150215,25.371633991279168
20240331,수리·개인,18991,150215,12.642545684518856
20240331,과학·기술,12336,150215,8.212229138235196
20240331,교육,6385,150215,4.250574177012948
20240331,부동산,5849,150215,3.8937522883866458
20240331,예술·스포츠,5749,150215,3.8271810405086044
20240331,시설관리·임대,5284,150215,3.5176247378757113
20240331,숙박,2292,150215,1.5258130013647107
20240331,보건의료,2033,150215,1.3533934693605831
20240630,음식,51961,147702,35.17961842087446
20240630,소매,37362,147702,25.29552748100906
20240630,수리·개인,18898,147702,12.79468118238074
20240630,과학·기술,12273,147702,8.309298452289068
20240630,교육,6285,147702,4.255189503188853
20240630,부동산,5734,147702,3.8821410678257573
20240630,예술·스포츠,5638,147702,3.817145333170844
20240630,시설관리·임대,5245,147702,3.551069044427293
20240630,숙박,2288,147702,1.549065009275433
20240630,보건의료,2018,147702,1.3662645055584894
20240930,음식,50087,143964,34.791336723069655
20240930,소매,36498,143964,25.352171376177377
20240930,수리·개인,18614,143964,12.929621294212442
20240930,과학·기술,12111,143964,8.41251979661582
20240930,교육,6159,143964,4.278152871551221
20240930,부동산,5598,143964,3.888472118029507
20240930,예술·스포츠,5462,143964,3.794004056569698
20240930,시설관리·임대,5184,143964,3.600900225056264
20240930,숙박,2249,143964,1.562196104581701
20240930,보건의료,2002,143964,1.3906254341363118
20241231,음식,56172,161440,34.79435084241823
20241231,소매,40481,161440,25.074950445986126
20241231,수리·개인,20868,161440,12.926164519326065
20241231,과학·기술,13250,161440,8.207383548067394
20241231,교육,7736,161440,4.79187314172448
20241231,예술·스포츠,6159,161440,3.8150396432111
20241231,부동산,6046,161440,3.7450445986124876
20241231,시설관리·임대,5778,161440,3.5790386521308224
20241231,숙박,2646,161440,1.6389990089197224
20241231,보건의료,2304,161440,1.4271555996035679
