기준년월,행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수
202412,2611051000,중구 중앙동,20대,622,843,1094
202412,2611051000,중구 중앙동,20대미만,322,67,376
202412,2611051000,중구 중앙동,30대,616,1246,1222
202412,2611051000,중구 중앙동,40대,631,1103,1173
202412,2611051000,중구 중앙동,50대,862,1135,1286
202412,2611051000,중구 중앙동,60대이상,1826,672,1809
202412,2611052000,중구 동광동,20대,117,61,154
202412,2611052000,중구 동광동,20대미만,37,4,48
202412,2611052000,중구 동광동,30대,139,78,142
202412,2611052000,중구 동광동,40대,186,113,164
202412,2611052000,중구 동광동,50대,272,107,202
202412,2611052000,중구 동광동,60대이상,1053,98,339
202412,2611053000,중구 대청동,20대,514,177,345
202412,2611053000,중구 대청동,20대미만,227,68,151
202412,2611053000,중구 대청동,30대,393,275,312
202412,2611053000,중구 대청동,40대,515,231,299
202412,2611053000,중구 대청동,50대,724,248,357
202412,2611053000,중구 대청동,60대이상,2095,247,642
202412,2611054500,중구 보수동,20대,1034,116,223
202412,2611054500,중구 보수동,20대미만,388,38,97
202412,2611054500,중구 보수동,30대,542,66,155
202412,2611054500,중구 보수동,40대,664,92,185
202412,2611054500,중구 보수동,50대,1105,148,240
202412,2611054500,중구 보수동,60대이상,2356,134,528
202412,2611056000,중구 부평동,20대,283,127,868
202412,2611056000,중구 부평동,20대미만,160,15,246
202412,2611056000,중구 부평동,30대,263,192,724
202412,2611056000,중구 부평동,40대,331,202,751
202412,2611056000,중구 부평동,50대,503,259,1002
202412,2611056000,중구 부평동,60대이상,1585,325,1805
202412,2611057000,중구 광복동,20대,34,104,253
202412,2611057000,중구 광복동,20대미만,6,31,137
202412,2611057000,중구 광복동,30대,13,68,201
202412,2611057000,중구 광복동,40대,47,84,238
202412,2611057000,중구 광복동,50대,36,100,264
202412,2611057000,중구 광복동,60대이상,194,183,417
202412,2611058000,중구 남포동,20대,215,321,1020
202412,2611058000,중구 남포동,20대미만,43,16,522
202412,2611058000,중구 남포동,30대,240,392,871
202412,2611058000,중구 남포동,40대,255,373,995
202412,2611058000,중구 남포동,50대,393,495,1444
202412,2611058000,중구 남포동,60대이상,1045,787,3235
202412,2611059000,중구 영주1동,20대,49,16,68
202412,2611059000,중구 영주1동,20대미만,13,0,16
202412,2611059000,중구 영주1동,30대,36,18,56
202412,2611059000,중구 영주1동,40대,38,20,59
202412,2611059000,중구 영주1동,50대,52,17,85
202412,2611059000,중구 영주1동,60대이상,138,21,121
202412,2611060000,중구 영주2동,20대,372,44,120
202412,2611060000,중구 영주2동,20대미만,253,22,75
202412,2611060000,중구 영주2동,30대,368,46,121
202412,2611060000,중구 영주2동,40대,507,54,141
202412,2611060000,중구 영주2동,50대,882,90,196
202412,2611060000,중구 영주2동,60대이상,2680,88,461
202412,2614051000,서구 동대신1동,20대,327,28,160
202412,2614051000,서구 동대신1동,20대미만,255,28,124
202412,2614051000,서구 동대신1동,30대,395,42,145
202412,2614051000,서구 동대신1동,40대,450,49,158
202412,2614051000,서구 동대신1동,50대,565,62,214
202412,2614051000,서구 동대신1동,60대이상,1516,88,421
202412,2614052000,서구 동대신2동,20대,141,13,54
202412,2614052000,서구 동대신2동,20대미만,127,9,48
202412,2614052000,서구 동대신2동,30대,147,9,39
202412,2614052000,서구 동대신2동,40대,306,30,64
202412,2614052000,서구 동대신2동,50대,413,37,84
202412,2614052000,서구 동대신2동,60대이상,1460,41,207
202412,2614053000,서구 동대신3동,20대,718,291,495
202412,2614053000,서구 동대신3동,20대미만,498,184,355
202412,2614053000,서구 동대신3동,30대,478,252,407
202412,2614053000,서구 동대신3동,40대,623,249,504
202412,2614053000,서구 동대신3동,50대,766,274,640
202412,2614053000,서구 동대신3동,60대이상,2208,196,1373
202412,2614054000,서구 서대신1동,20대,1073,157,312
202412,2614054000,서구 서대신1동,20대미만,1218,17,214
202412,2614054000,서구 서대신1동,30대,1264,184,286
202412,2614054000,서구 서대신1동,40대,1736,228,362
202412,2614054000,서구 서대신1동,50대,1600,251,470
202412,2614054000,서구 서대신1동,60대이상,3857,246,860
202412,2614056000,서구 서대신3동,20대,260,41,94
202412,2614056000,서구 서대신3동,20대미만,317,130,141
202412,2614056000,서구 서대신3동,30대,244,61,101
202412,2614056000,서구 서대신3동,40대,404,92,138
202412,2614056000,서구 서대신3동,50대,458,75,189
202412,2614056000,서구 서대신3동,60대이상,1084,71,355
202412,2614057000,서구 서대신4동,20대,446,59,190
202412,2614057000,서구 서대신4동,20대미만,572,57,124
202412,2614057000,서구 서대신4동,30대,427,67,136
202412,2614057000,서구 서대신4동,40대,696,73,194
202412,2614057000,서구 서대신4동,50대,806,103,279
202412,2614057000,서구 서대신4동,60대이상,1968,107,556
202412,2614059000,서구 부민동,20대,604,169,336
202412,2614059000,서구 부민동,20대미만,408,25,147
202412,2614059000,서구 부민동,30대,374,62,120
202412,2614059000,서구 부민동,40대,448,74,133
202412,2614059000,서구 부민동,50대,480,73,181
202412,2614059000,서구 부민동,60대이상,1331,70,283
202412,2614061500,서구 아미동,20대,488,53,223
202412,2614061500,서구 아미동,20대미만,176,2,52
202412,2614061500,서구 아미동,30대,483,113,272
202412,2614061500,서구 아미동,40대,395,82,227
202412,2614061500,서구 아미동,50대,631,93,293
202412,2614061500,서구 아미동,60대이상,2691,102,625
202412,2614063000,서구 초장동,20대,169,43,113
202412,2614063000,서구 초장동,20대미만,112,43,62
202412,2614063000,서구 초장동,30대,189,13,63
202412,2614063000,서구 초장동,40대,297,28,95
202412,2614063000,서구 초장동,50대,458,57,155
202412,2614063000,서구 초장동,60대이상,1731,57,327
202412,2614064000,서구 충무동,20대,543,84,142
202412,2614064000,서구 충무동,20대미만,306,95,91
202412,2614064000,서구 충무동,30대,438,125,134
202412,2614064000,서구 충무동,40대,553,152,184
202412,2614064000,서구 충무동,50대,766,183,279
202412,2614064000,서구 충무동,60대이상,2136,179,625
202412,2614065000,서구 남부민1동,20대,142,12,50
202412,2614065000,서구 남부민1동,20대미만,54,4,28
202412,2614065000,서구 남부민1동,30대,86,28,58
202412,2614065000,서구 남부민1동,40대,173,40,85
202412,2614065000,서구 남부민1동,50대,447,68,128
202412,2614065000,서구 남부민1동,60대이상,1228,58,296
202412,2614066000,서구 남부민2동,20대,389,66,220
202412,2614066000,서구 남부민2동,20대미만,338,43,162
202412,2614066000,서구 남부민2동,30대,398,76,269
202412,2614066000,서구 남부민2동,40대,595,89,305
202412,2614066000,서구 남부민2동,50대,945,101,394
202412,2614066000,서구 남부민2동,60대이상,3186,124,800
202412,2614068000,서구 암남동,20대,1097,335,670
202412,2614068000,서구 암남동,20대미만,818,59,228
202412,2614068000,서구 암남동,30대,1231,438,682
202412,2614068000,서구 암남동,40대,1522,516,860
202412,2614068000,서구 암남동,50대,2031,621,1130
202412,2614068000,서구 암남동,60대이상,5060,455,1808
202412,2617051000,동구 초량1동,20대,174,148,387
202412,2617051000,동구 초량1동,20대미만,112,25,108
202412,2617051000,동구 초량1동,30대,161,223,386
202412,2617051000,동구 초량1동,40대,234,188,348
202412,2617051000,동구 초량1동,50대,352,172,408
202412,2617051000,동구 초량1동,60대이상,1069,147,595
202412,2617052000,동구 초량2동,20대,280,139,630
202412,2617052000,동구 초량2동,20대미만,220,96,238
202412,2617052000,동구 초량2동,30대,276,183,516
202412,2617052000,동구 초량2동,40대,393,168,497
202412,2617052000,동구 초량2동,50대,657,194,649
202412,2617052000,동구 초량2동,60대이상,2076,209,1244
202412,2617053000,동구 초량3동,20대,1059,458,1293
202412,2617053000,동구 초량3동,20대미만,658,95,443
202412,2617053000,동구 초량3동,30대,1635,578,1290
202412,2617053000,동구 초량3동,40대,1425,531,1253
202412,2617053000,동구 초량3동,50대,1258,585,1604
202412,2617053000,동구 초량3동,60대이상,2222,421,2095
202412,2617055000,동구 초량6동,20대,93,28,133
202412,2617055000,동구 초량6동,20대미만,62,31,122
202412,2617055000,동구 초량6동,30대,95,21,134
202412,2617055000,동구 초량6동,40대,102,30,144
202412,2617055000,동구 초량6동,50대,213,47,140
202412,2617055000,동구 초량6동,60대이상,536,27,185
202412,2617056000,동구 수정1동,20대,287,68,161
202412,2617056000,동구 수정1동,20대미만,283,35,101
202412,2617056000,동구 수정1동,30대,257,81,177
202412,2617056000,동구 수정1동,40대,386,76,160
202412,2617056000,동구 수정1동,50대,474,91,198
202412,2617056000,동구 수정1동,60대이상,1395,81,384
202412,2617057000,동구 수정2동,20대,407,80,108
202412,2617057000,동구 수정2동,20대미만,358,82,102
202412,2617057000,동구 수정2동,30대,626,123,152
202412,2617057000,동구 수정2동,40대,629,148,168
202412,2617057000,동구 수정2동,50대,853,172,292
202412,2617057000,동구 수정2동,60대이상,2816,149,528
202412,2617059000,동구 수정4동,20대,123,18,29
202412,2617059000,동구 수정4동,20대미만,93,0,26
202412,2617059000,동구 수정4동,30대,123,8,33
202412,2617059000,동구 수정4동,40대,191,18,39
202412,2617059000,동구 수정4동,50대,400,22,65
202412,2617059000,동구 수정4동,60대이상,1321,32,167
202412,2617060000,동구 수정5동,20대,269,25,39
202412,2617060000,동구 수정5동,20대미만,235,30,43
202412,2617060000,동구 수정5동,30대,217,31,51
202412,2617060000,동구 수정5동,40대,373,45,69
202412,2617060000,동구 수정5동,50대,607,58,89
202412,2617060000,동구 수정5동,60대이상,2143,49,211
202412,2617064500,동구 좌천동,20대,230,27,189
202412,2617064500,동구 좌천동,20대미만,120,27,129
202412,2617064500,동구 좌천동,30대,260,36,227
202412,2617064500,동구 좌천동,40대,250,45,232
202412,2617064500,동구 좌천동,50대,440,78,322
202412,2617064500,동구 좌천동,60대이상,1445,77,772
202412,2617065000,동구 범일1동,20대,574,65,192
202412,2617065000,동구 범일1동,20대미만,279,40,77
202412,2617065000,동구 범일1동,30대,656,105,249
202412,2617065000,동구 범일1동,40대,770,130,232
202412,2617065000,동구 범일1동,50대,1101,171,287
202412,2617065000,동구 범일1동,60대이상,4078,204,630
202412,2617066000,동구 범일2동,20대,593,403,613
202412,2617066000,동구 범일2동,20대미만,336,69,190
202412,2617066000,동구 범일2동,30대,713,726,820
202412,2617066000,동구 범일2동,40대,678,897,848
202412,2617066000,동구 범일2동,50대,931,1027,1157
202412,2617066000,동구 범일2동,60대이상,2234,903,2099
202412,2617068000,동구 범일5동,20대,542,72,348
202412,2617068000,동구 범일5동,20대미만,409,92,207
202412,2617068000,동구 범일5동,30대,1364,128,448
202412,2617068000,동구 범일5동,40대,1029,176,485
202412,2617068000,동구 범일5동,50대,850,222,608
202412,2617068000,동구 범일5동,60대이상,1680,324,1265
202412,2620053000,영도구 남항동,20대,592,197,472
202412,2620053000,영도구 남항동,20대미만,419,26,204
202412,2620053000,영도구 남항동,30대,621,252,492
202412,2620053000,영도구 남항동,40대,848,343,651
202412,2620053000,영도구 남항동,50대,1350,466,929
202412,2620053000,영도구 남항동,60대이상,4262,529,1875
202412,2620054000,영도구 영선1동,20대,68,13,45
202412,2620054000,영도구 영선1동,20대미만,51,3,33
202412,2620054000,영도구 영선1동,30대,62,17,59
202412,2620054000,영도구 영선1동,40대,135,33,83
202412,2620054000,영도구 영선1동,50대,196,58,132
202412,2620054000,영도구 영선1동,60대이상,545,84,285
202412,2620055000,영도구 영선2동,20대,419,51,180
202412,2620055000,영도구 영선2동,20대미만,387,66,108
202412,2620055000,영도구 영선2동,30대,423,50,132
202412,2620055000,영도구 영선2동,40대,501,69,132
202412,2620055000,영도구 영선2동,50대,888,90,201
202412,2620055000,영도구 영선2동,60대이상,2921,117,439
202412,2620058500,영도구 신선동,20대,264,30,64
202412,2620058500,영도구 신선동,20대미만,229,115,104
202412,2620058500,영도구 신선동,30대,294,44,85
202412,2620058500,영도구 신선동,40대,540,64,112
202412,2620058500,영도구 신선동,50대,829,88,165
