기준년월,행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수
202412,2611051000,중구 중앙동,00시,5997,325,3703
202412,2611051000,중구 중앙동,01시,6065,294,3583
202412,2611051000,중구 중앙동,02시,6122,274,3483
202412,2611051000,중구 중앙동,03시,6162,268,3418
202412,2611051000,중구 중앙동,04시,6195,272,3391
202412,2611051000,중구 중앙동,05시,6200,295,3510
202412,2611051000,중구 중앙동,06시,6120,428,3894
202412,2611051000,중구 중앙동,07시,5834,1236,4398
202412,2611051000,중구 중앙동,08시,5261,5012,5407
202412,2611051000,중구 중앙동,09시,4267,9874,6920
202412,2611051000,중구 중앙동,10시,3949,10947,8254
202412,2611051000,중구 중앙동,11시,3743,11162,9757
202412,2611051000,중구 중앙동,12시,3600,10930,10984
202412,2611051000,중구 중앙동,13시,3497,11324,11560
202412,2611051000,중구 중앙동,14시,3445,11305,11669
202412,2611051000,중구 중앙동,15시,3478,11119,11207
202412,2611051000,중구 중앙동,16시,3575,10841,10528
202412,2611051000,중구 중앙동,17시,3761,9826,9952
202412,2611051000,중구 중앙동,18시,4045,6933,9720
202412,2611051000,중구 중앙동,19시,4321,3761,8840
202412,2611051000,중구 중앙동,20시,5028,2258,7467
202412,2611051000,중구 중앙동,21시,5292,1404,5972
202412,2611051000,중구 중앙동,22시,5520,874,4943
202412,2611051000,중구 중앙동,23시,5627,593,4501
202412,2611052000,중구 동광동,00시,2076,29,742
202412,2611052000,중구 동광동,01시,2101,24,711
202412,2611052000,중구 동광동,02시,2121,22,677
202412,2611052000,중구 동광동,03시,2142,21,662
202412,2611052000,중구 동광동,04시,2153,21,659
202412,2611052000,중구 동광동,05시,2148,24,674
202412,2611052000,중구 동광동,06시,2102,37,719
202412,2611052000,중구 동광동,07시,2021,108,792
202412,2611052000,중구 동광동,08시,1889,422,933
202412,2611052000,중구 동광동,09시,1688,916,1209
202412,2611052000,중구 동광동,10시,1587,993,1382
202412,2611052000,중구 동광동,11시,1518,1004,1456
202412,2611052000,중구 동광동,12시,1477,980,1398
202412,2611052000,중구 동광동,13시,1435,1034,1356
202412,2611052000,중구 동광동,14시,1407,1033,1370
202412,2611052000,중구 동광동,15시,1418,1035,1330
202412,2611052000,중구 동광동,16시,1468,1013,1281
202412,2611052000,중구 동광동,17시,1529,913,1197
202412,2611052000,중구 동광동,18시,1609,628,1243
202412,2611052000,중구 동광동,19시,1690,345,1234
202412,2611052000,중구 동광동,20시,1832,190,1199
202412,2611052000,중구 동광동,21시,1919,137,1107
202412,2611052000,중구 동광동,22시,1977,89,980
202412,2611052000,중구 동광동,23시,2008,58,880
202412,2611053000,중구 대청동,00시,5356,72,978
202412,2611053000,중구 대청동,01시,5417,67,959
202412,2611053000,중구 대청동,02시,5472,65,951
202412,2611053000,중구 대청동,03시,5508,65,954
202412,2611053000,중구 대청동,04시,5529,66,962
202412,2611053000,중구 대청동,05시,5505,72,1004
202412,2611053000,중구 대청동,06시,5397,107,1112
202412,2611053000,중구 대청동,07시,5178,311,1251
202412,2611053000,중구 대청동,08시,4770,1157,1512
202412,2611053000,중구 대청동,09시,4056,2378,2069
202412,2611053000,중구 대청동,10시,3790,2584,2683
202412,2611053000,중구 대청동,11시,3619,2714,3248
202412,2611053000,중구 대청동,12시,3497,2727,3575
202412,2611053000,중구 대청동,13시,3399,2863,3814
202412,2611053000,중구 대청동,14시,3344,2882,4103
202412,2611053000,중구 대청동,15시,3367,2839,3982
202412,2611053000,중구 대청동,16시,3447,2717,3589
202412,2611053000,중구 대청동,17시,3585,2420,3098
202412,2611053000,중구 대청동,18시,3757,1732,2729
202412,2611053000,중구 대청동,19시,3956,1048,2360
202412,2611053000,중구 대청동,20시,4523,456,1888
202412,2611053000,중구 대청동,21시,4738,289,1467
202412,2611053000,중구 대청동,22시,4952,171,1193
202412,2611053000,중구 대청동,23시,5075,116,1082
202412,2611054500,중구 보수동,00시,7441,67,918
202412,2611054500,중구 보수동,01시,7557,57,874
202412,2611054500,중구 보수동,02시,7652,53,841
202412,2611054500,중구 보수동,03시,7720,51,819
202412,2611054500,중구 보수동,04시,7748,50,811
202412,2611054500,중구 보수동,05시,7716,52,843
202412,2611054500,중구 보수동,06시,7560,58,898
202412,2611054500,중구 보수동,07시,7232,113,993
202412,2611054500,중구 보수동,08시,6545,387,1131
202412,2611054500,중구 보수동,09시,5440,1013,1394
202412,2611054500,중구 보수동,10시,4984,1106,1657
202412,2611054500,중구 보수동,11시,4709,1154,1886
202412,2611054500,중구 보수동,12시,4519,1175,2133
202412,2611054500,중구 보수동,13시,4381,1227,2148
202412,2611054500,중구 보수동,14시,4320,1248,2121
202412,2611054500,중구 보수동,15시,4359,1277,2031
202412,2611054500,중구 보수동,16시,4505,1289,1933
202412,2611054500,중구 보수동,17시,4759,1202,1908
202412,2611054500,중구 보수동,18시,5051,1002,2000
202412,2611054500,중구 보수동,19시,5391,842,1857
202412,2611054500,중구 보수동,20시,6172,313,1549
202412,2611054500,중구 보수동,21시,6510,237,1277
202412,2611054500,중구 보수동,22시,6833,167,1137
202412,2611054500,중구 보수동,23시,7010,119,1098
202412,2611056000,중구 부평동,00시,3702,215,4478
202412,2611056000,중구 부평동,01시,3735,177,3945
202412,2611056000,중구 부평동,02시,3764,149,3417
202412,2611056000,중구 부평동,03시,3780,134,3014
202412,2611056000,중구 부평동,04시,3789,128,2748
202412,2611056000,중구 부평동,05시,3782,132,2668
202412,2611056000,중구 부평동,06시,3719,182,2796
202412,2611056000,중구 부평동,07시,3589,453,3005
202412,2611056000,중구 부평동,08시,3320,1175,3568
202412,2611056000,중구 부평동,09시,2832,1767,4424
202412,2611056000,중구 부평동,10시,2635,1992,5065
202412,2611056000,중구 부평동,11시,2492,2140,5431
202412,2611056000,중구 부평동,12시,2420,2185,5792
202412,2611056000,중구 부평동,13시,2370,2288,6174
202412,2611056000,중구 부평동,14시,2331,2346,6529
202412,2611056000,중구 부평동,15시,2355,2382,6511
202412,2611056000,중구 부평동,16시,2442,2347,6466
202412,2611056000,중구 부평동,17시,2588,2097,6990
202412,2611056000,중구 부평동,18시,2748,1489,8193
202412,2611056000,중구 부평동,19시,2891,1095,8836
202412,2611056000,중구 부평동,20시,3247,683,8632
202412,2611056000,중구 부평동,21시,3394,547,7887
202412,2611056000,중구 부평동,22시,3509,438,6966
202412,2611056000,중구 부평동,23시,3567,349,5972
202412,2611057000,중구 광복동,00시,362,39,338
202412,2611057000,중구 광복동,01시,365,34,295
202412,2611057000,중구 광복동,02시,368,32,256
202412,2611057000,중구 광복동,03시,371,31,238
202412,2611057000,중구 광복동,04시,374,32,234
202412,2611057000,중구 광복동,05시,374,33,242
202412,2611057000,중구 광복동,06시,376,38,259
202412,2611057000,중구 광복동,07시,373,94,326
202412,2611057000,중구 광복동,08시,359,263,439
202412,2611057000,중구 광복동,09시,313,553,630
202412,2611057000,중구 광복동,10시,305,886,963
202412,2611057000,중구 광복동,11시,297,1091,1649
202412,2611057000,중구 광복동,12시,297,1226,2627
202412,2611057000,중구 광복동,13시,296,1316,3192
202412,2611057000,중구 광복동,14시,291,1365,3479
202412,2611057000,중구 광복동,15시,290,1369,3539
202412,2611057000,중구 광복동,16시,291,1345,3362
202412,2611057000,중구 광복동,17시,295,1218,3255
202412,2611057000,중구 광복동,18시,295,980,3150
202412,2611057000,중구 광복동,19시,293,723,2712
202412,2611057000,중구 광복동,20시,322,478,2092
202412,2611057000,중구 광복동,21시,339,273,1471
202412,2611057000,중구 광복동,22시,343,160,904
202412,2611057000,중구 광복동,23시,344,95,601
202412,2611058000,중구 남포동,00시,2380,226,3652
202412,2611058000,중구 남포동,01시,2408,188,3298
202412,2611058000,중구 남포동,02시,2443,167,2993
202412,2611058000,중구 남포동,03시,2473,156,2820
202412,2611058000,중구 남포동,04시,2517,154,2755
202412,2611058000,중구 남포동,05시,2571,164,2934
202412,2611058000,중구 남포동,06시,2590,235,3377
202412,2611058000,중구 남포동,07시,2516,584,3846
202412,2611058000,중구 남포동,08시,2375,1696,4569
202412,2611058000,중구 남포동,09시,2091,3287,6037
202412,2611058000,중구 남포동,10시,2016,4109,7786
202412,2611058000,중구 남포동,11시,1973,4651,9741
202412,2611058000,중구 남포동,12시,1930,4956,12178
202412,2611058000,중구 남포동,13시,1899,5253,13959
202412,2611058000,중구 남포동,14시,1878,5378,15124
202412,2611058000,중구 남포동,15시,1886,5398,15058
202412,2611058000,중구 남포동,16시,1886,5304,13984
202412,2611058000,중구 남포동,17시,1897,4847,13221
202412,2611058000,중구 남포동,18시,1932,3751,13261
202412,2611058000,중구 남포동,19시,1962,2568,12326
202412,2611058000,중구 남포동,20시,2170,1732,10728
202412,2611058000,중구 남포동,21시,2227,1179,8639
202412,2611058000,중구 남포동,22시,2268,744,6579
202412,2611058000,중구 남포동,23시,2290,465,5228
202412,2611059000,중구 영주1동,00시,411,7,324
202412,2611059000,중구 영주1동,01시,420,6,325
202412,2611059000,중구 영주1동,02시,425,5,323
202412,2611059000,중구 영주1동,03시,429,5,326
202412,2611059000,중구 영주1동,04시,435,5,323
202412,2611059000,중구 영주1동,05시,436,6,331
202412,2611059000,중구 영주1동,06시,425,14,352
202412,2611059000,중구 영주1동,07시,395,26,367
202412,2611059000,중구 영주1동,08시,354,76,422
202412,2611059000,중구 영주1동,09시,294,174,472
202412,2611059000,중구 영주1동,10시,259,197,492
202412,2611059000,중구 영주1동,11시,246,197,511
202412,2611059000,중구 영주1동,12시,237,198,545
202412,2611059000,중구 영주1동,13시,226,210,523
202412,2611059000,중구 영주1동,14시,218,217,486
202412,2611059000,중구 영주1동,15시,218,211,461
202412,2611059000,중구 영주1동,16시,228,202,421
202412,2611059000,중구 영주1동,17시,239,181,407
202412,2611059000,중구 영주1동,18시,258,116,445
202412,2611059000,중구 영주1동,19시,280,63,427
202412,2611059000,중구 영주1동,20시,317,34,399
202412,2611059000,중구 영주1동,21시,343,24,356
202412,2611059000,중구 영주1동,22시,365,14,339
202412,2611059000,중구 영주1동,23시,375,11,332
202412,2611060000,중구 영주2동,00시,6171,40,963
202412,2611060000,중구 영주2동,01시,6228,40,952
202412,2611060000,중구 영주2동,02시,6270,40,944
202412,2611060000,중구 영주2동,03시,6287,37,935
202412,2611060000,중구 영주2동,04시,6295,35,923
202412,2611060000,중구 영주2동,05시,6244,36,924
202412,2611060000,중구 영주2동,06시,6089,43,946
202412,2611060000,중구 영주2동,07시,5824,77,996
202412,2611060000,중구 영주2동,08시,5316,215,1147
202412,2611060000,중구 영주2동,09시,4457,670,1281
202412,2611060000,중구 영주2동,10시,4107,683,1390
202412,2611060000,중구 영주2동,11시,3874,673,1375
202412,2611060000,중구 영주2동,12시,3730,666,1333
202412,2611060000,중구 영주2동,13시,3651,703,1345
202412,2611060000,중구 영주2동,14시,3600,700,1359
202412,2611060000,중구 영주2동,15시,3671,716,1329
202412,2611060000,중구 영주2동,16시,3860,726,1237
202412,2611060000,중구 영주2동,17시,4086,697,1133
202412,2611060000,중구 영주2동,18시,4372,612,1075
202412,2611060000,중구 영주2동,19시,4650,521,1055
202412,2611060000,중구 영주2동,20시,5308,110,1027
202412,2611060000,중구 영주2동,21시,5593,88,1019
202412,2611060000,중구 영주2동,22시,5828,67,1016
202412,2611060000,중구 영주2동,23시,5958,51,1034
202412,2614051000,서구 동대신1동,00시,4295,43,1057
202412,2614051000,서구 동대신1동,01시,4351,39,1043
202412,2614051000,서구 동대신1동,02시,4407,37,1032
202412,2614051000,서구 동대신1동,03시,4451,37,1028
202412,2614051000,서구 동대신1동,04시,4461,36,1022
202412,2614051000,서구 동대신1동,05시,4441,36,1022
202412,2614051000,서구 동대신1동,06시,4349,45,1034
202412,2614051000,서구 동대신1동,07시,4134,85,1049
202412,2614051000,서구 동대신1동,08시,3696,250,1149
202412,2614051000,서구 동대신1동,09시,3064,540,1262
202412,2614051000,서구 동대신1동,10시,2815,570,1378
202412,2614051000,서구 동대신1동,11시,2637,571,1455
202412,2614051000,서구 동대신1동,12시,2546,581,1480
202412,2614051000,서구 동대신1동,13시,2487,590,1414
202412,2614051000,서구 동대신1동,14시,2442,590,1376
202412,2614051000,서구 동대신1동,15시,2488,587,1333
202412,2614051000,서구 동대신1동,16시,2600,581,1256
202412,2614051000,서구 동대신1동,17시,2773,553,1255
202412,2614051000,서구 동대신1동,18시,2990,474,1333
202412,2614051000,서구 동대신1동,19시,3212,411,1351
202412,2614051000,서구 동대신1동,20시,3654,167,1285
202412,2614051000,서구 동대신1동,21시,3854,131,1199
202412,2614051000,서구 동대신1동,22시,4001,100,1212
202412,2614051000,서구 동대신1동,23시,4051,87,1280
202412,2614052000,서구 동대신2동,00시,3076,19,424
202412,2614052000,서구 동대신2동,01시,3107,17,414
202412,2614052000,서구 동대신2동,02시,3134,17,411
202412,2614052000,서구 동대신2동,03시,3150,17,410
202412,2614052000,서구 동대신2동,04시,3152,17,405
202412,2614052000,서구 동대신2동,05시,3136,17,408
202412,2614052000,서구 동대신2동,06시,3085,21,400
202412,2614052000,서구 동대신2동,07시,2902,38,420
202412,2614052000,서구 동대신2동,08시,2653,103,495
202412,2614052000,서구 동대신2동,09시,2292,266,556
202412,2614052000,서구 동대신2동,10시,2143,271,605
202412,2614052000,서구 동대신2동,11시,2043,278,633
202412,2614052000,서구 동대신2동,12시,1993,285,632
202412,2614052000,서구 동대신2동,13시,1953,290,627
202412,2614052000,서구 동대신2동,14시,1926,290,613
202412,2614052000,서구 동대신2동,15시,1969,283,598
202412,2614052000,서구 동대신2동,16시,2081,282,570
202412,2614052000,서구 동대신2동,17시,2201,256,505
202412,2614052000,서구 동대신2동,18시,2318,227,484
202412,2614052000,서구 동대신2동,19시,2457,207,469
202412,2614052000,서구 동대신2동,20시,2723,46,458
202412,2614052000,서구 동대신2동,21시,2846,35,445
202412,2614052000,서구 동대신2동,22시,2934,30,446
202412,2614052000,서구 동대신2동,23시,2963,25,455
202412,2614053000,서구 동대신3동,00시,6391,181,2436
202412,2614053000,서구 동대신3동,01시,6457,166,2387
202412,2614053000,서구 동대신3동,02시,6507,158,2343
202412,2614053000,서구 동대신3동,03시,6543,156,2318
202412,2614053000,서구 동대신3동,04시,6570,158,2337
202412,2614053000,서구 동대신3동,05시,6574,167,2423
202412,2614053000,서구 동대신3동,06시,6463,258,2746
202412,2614053000,서구 동대신3동,07시,6161,720,3173
202412,2614053000,서구 동대신3동,08시,5579,1822,3821
202412,2614053000,서구 동대신3동,09시,4670,2668,4653
202412,2614053000,서구 동대신3동,10시,4356,2850,5307
202412,2614053000,서구 동대신3동,11시,4130,2925,5470
202412,2614053000,서구 동대신3동,12시,3991,2939,5284
202412,2614053000,서구 동대신3동,13시,3912,2984,5307
202412,2614053000,서구 동대신3동,14시,3884,3014,5526
202412,2614053000,서구 동대신3동,15시,3944,3033,5327
202412,2614053000,서구 동대신3동,16시,4047,2929,4803
202412,2614053000,서구 동대신3동,17시,4238,2490,4331
202412,2614053000,서구 동대신3동,18시,4525,1745,4077
202412,2614053000,서구 동대신3동,19시,4790,1344,3907
202412,2614053000,서구 동대신3동,20시,5461,734,3618
202412,2614053000,서구 동대신3동,21시,5754,562,3318
202412,2614053000,서구 동대신3동,22시,5966,385,2931
202412,2614053000,서구 동대신3동,23시,6076,292,2753
202412,2614054000,서구 서대신1동,00시,13617,161,2006
202412,2614054000,서구 서대신1동,01시,13721,142,1908
202412,2614054000,서구 서대신1동,02시,13811,131,1826
202412,2614054000,서구 서대신1동,03시,13859,124,1775
202412,2614054000,서구 서대신1동,04시,13862,122,1725
202412,2614054000,서구 서대신1동,05시,13787,127,1736
202412,2614054000,서구 서대신1동,06시,13528,157,1826
202412,2614054000,서구 서대신1동,07시,12770,268,1887
202412,2614054000,서구 서대신1동,08시,11072,646,2030
202412,2614054000,서구 서대신1동,09시,8854,1947,2354
202412,2614054000,서구 서대신1동,10시,8095,2012,2680
