scope,district,rawDong,type,subtype,count,regionAllTypes,retention,repeatedBefore,repeatedAfter,directionReversal,geographyConfirmed,weekendRatio2020_2022,weekendRatio2023_2024,regionShare,count_2020,count_2021,count_2022,count_2023,count_2024,before_2020,before_2021,before_2022,before_2023,before_2024
A,강서구,강동동,구급,심정지,32,2370,0.5517241379310345,True,True,True,False,0.5360565951620264,0.9082209656372335,0.01350210970464135,8,5,4,10,5,9,11,6,20,12
A,강서구,강동동,화재,일반화재(주택),89,2370,0.7739130434782608,True,True,True,False,1.2187269599410175,7.180622009569379,0.03755274261603375,18,15,25,11,20,27,21,28,15,24
A,강서구,강동동,구조,산악사고,0,2370,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,강동동,구조,수난사고,11,2370,0.4074074074074074,False,False,False,False,0.8338658146964857,0.0,0.004641350210970464,1,1,6,3,0,5,4,12,6,0
A,강서구,강동동,구급,교통사고,144,2370,0.6050420168067226,True,True,False,False,0.3411269241940168,0.69377990430622,0.060759493670886074,26,21,28,34,35,46,33,42,55,62
A,강서구,구랑동,구급,심정지,3,420,1.0,False,False,False,False,,0.0,0.007142857142857143,0,2,0,1,0,0,2,0,1,0
A,강서구,구랑동,화재,일반화재(주택),2,420,0.4,False,False,False,False,0.0,0.0,0.004761904761904762,1,0,0,0,1,3,0,0,0,2
A,강서구,구랑동,구조,산악사고,4,420,0.8,False,False,False,False,0.0,,0.009523809523809525,0,0,4,0,0,0,0,5,0,0
A,강서구,구랑동,구조,수난사고,0,420,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,구랑동,구급,교통사고,44,420,0.5176470588235295,True,True,False,False,0.7147421268827019,2.2200956937799043,0.10476190476190476,4,8,15,12,5,7,13,29,23,13
A,강서구,녹산동,구급,심정지,9,1149,0.5294117647058824,True,False,False,False,0.357371063441351,,0.007832898172323759,1,4,3,0,1,1,9,4,2,1
A,강서구,녹산동,화재,일반화재(주택),16,1149,0.9411764705882353,False,False,False,False,1.6677316293929711,0.0,0.01392515230635335,5,1,9,1,0,5,1,10,1,0
A,강서구,녹산동,구조,산악사고,5,1149,0.8333333333333334,False,False,False,False,0.0,,0.004351610095735422,1,0,1,0,3,2,0,1,0,3
A,강서구,녹산동,구조,수난사고,0,1149,0.0,False,False,False,False,,,0.0,0,0,0,0,0,3,0,1,1,1
A,강서구,녹산동,구급,교통사고,65,1149,0.625,True,True,False,False,0.662187558729562,0.24976076555023924,0.05657093124456049,19,13,11,8,14,29,22,16,13,24
A,강서구,눌차동,구급,심정지,4,134,0.6666666666666666,False,False,False,False,0.0,0.0,0.029850746268656716,1,0,1,2,0,1,0,1,3,1
A,강서구,눌차동,화재,일반화재(주택),0,134,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,눌차동,구조,산악사고,0,134,0.0,False,False,False,False,,,0.0,0,0,0,0,0,0,0,1,0,0
A,강서구,눌차동,구조,수난사고,0,134,0.0,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,4,0
A,강서구,눌차동,구급,교통사고,2,134,0.6666666666666666,False,False,False,False,,0.0,0.014925373134328358,0,0,1,0,1,0,0,1,0,2
A,강서구,대저1동,구급,심정지,66,4232,0.673469387755102,True,True,False,False,1.819343595701423,0.999043062200957,0.015595463137996219,9,14,15,12,16,15,21,24,14,24
A,강서구,대저1동,화재,일반화재(주택),143,4232,0.7295918367346939,True,True,False,False,0.4841801504689271,0.3568010936431989,0.033790170132325145,19,49,43,17,15,25,61,65,21,24
A,강서구,대저1동,구조,산악사고,0,4232,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,대저1동,구조,수난사고,14,4232,0.2857142857142857,True,False,False,False,17.511182108626198,0.4995215311004785,0.0033081285444234404,3,5,0,3,3,11,11,7,14,6
A,강서구,대저1동,구급,교통사고,333,4232,0.6367112810707457,True,True,False,False,0.7216146473334972,0.9366028708133972,0.07868620037807184,75,50,76,66,66,115,87,114,102,105
A,강서구,대저2동,구급,심정지,51,3731,0.75,True,True,False,False,0.9216411636119052,0.3405828621139626,0.013669257571696597,10,9,7,11,14,13,12,10,15,18
A,강서구,대저2동,화재,일반화재(주택),131,3731,0.7844311377245509,True,True,False,False,2.5015974440894566,0.20813397129186603,0.035111230233181454,9,13,70,12,27,16,19,85,16,31
A,강서구,대저2동,구조,산악사고,0,3731,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,대저2동,구조,수난사고,7,3731,0.23333333333333334,True,False,False,False,10.006389776357826,0.0,0.001876172607879925,0,3,2,2,0,4,12,5,8,1
A,강서구,대저2동,구급,교통사고,311,3731,0.6561181434599156,True,True,False,False,0.9096717978507115,0.6184552289815447,0.08335566872152238,46,65,69,65,66,76,90,104,112,92
A,강서구,대항동,구급,심정지,5,203,0.45454545454545453,True,False,False,False,0.8338658146964857,0.0,0.024630541871921183,1,0,3,1,0,1,5,3,1,1
A,강서구,대항동,화재,일반화재(주택),5,203,0.8333333333333334,False,False,False,False,7.504792332268369,,0.024630541871921183,0,3,1,0,1,0,4,1,0,1
A,강서구,대항동,구조,산악사고,4,203,0.4,False,False,False,False,2.5015974440894566,2.4976076555023923,0.019704433497536946,1,0,1,2,0,2,0,3,4,1
A,강서구,대항동,구조,수난사고,16,203,0.5714285714285714,True,False,False,False,1.500958466453674,2.4976076555023923,0.07881773399014778,7,0,1,3,5,12,1,2,3,10
A,강서구,대항동,구급,교통사고,1,203,1.0,False,False,False,False,,,0.0049261083743842365,0,0,1,0,0,0,0,1,0,0
A,강서구,동선동,구급,심정지,7,223,0.5384615384615384,False,False,False,False,0.0,1.2488038277511961,0.03139013452914798,2,0,2,2,1,5,0,3,2,3
A,강서구,동선동,화재,일반화재(주택),0,223,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,동선동,구조,산악사고,8,223,0.8,True,True,True,False,7.504792332268369,2.4976076555023923,0.03587443946188341,1,2,1,2,2,3,2,1,2,2
A,강서구,동선동,구조,수난사고,1,223,0.25,False,False,False,False,,,0.004484304932735426,0,0,0,1,0,0,2,1,1,0
A,강서구,동선동,구급,교통사고,6,223,0.5454545454545454,True,False,False,False,0.6253993610223642,,0.026905829596412557,0,2,3,1,0,1,4,4,1,1
A,강서구,명지동,구급,심정지,112,9599,0.48484848484848486,True,True,False,False,1.0233807725820505,1.2866463679860807,0.011667882071049067,11,23,28,24,26,34,43,54,46,54
A,강서구,명지동,화재,일반화재(주택),152,9599,0.6104417670682731,True,True,False,False,1.3758785942492011,0.02806300736519542,0.01583498281070945,31,21,10,12,78,50,31,24,18,126
A,강서구,명지동,구조,산악사고,0,9599,0.0,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,2
A,강서구,명지동,구조,수난사고,14,9599,0.30434782608695654,True,True,False,False,0.0,2.4976076555023923,0.0014584852588811334,1,1,6,1,5,5,9,16,3,13
A,강서구,명지동,구급,교통사고,652,9599,0.4961948249619482,True,True,False,False,1.1655169909962242,0.9496112440191388,0.06792374205646422,115,132,140,134,131,218,279,279,280,258
A,강서구,미음동,구급,심정지,0,640,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,미음동,화재,일반화재(주택),7,640,0.4666666666666667,False,False,False,False,15.009584664536739,,0.0109375,3,4,0,0,0,5,5,5,0,0
A,강서구,미음동,구조,산악사고,1,640,1.0,False,False,False,False,,,0.0015625,0,1,0,0,0,0,1,0,0,0
A,강서구,미음동,구조,수난사고,0,640,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,미음동,구급,교통사고,36,640,0.6545454545454545,True,True,False,False,0.20846645367412142,1.6650717703349283,0.05625,9,10,7,4,6,13,10,10,14,8
A,강서구,범방동,구급,심정지,4,664,0.6666666666666666,False,False,False,False,,0.0,0.006024096385542169,1,0,0,0,3,2,0,0,1,3
A,강서구,범방동,화재,일반화재(주택),6,664,0.5,False,False,False,False,0.0,,0.009036144578313253,1,3,2,0,0,3,5,2,0,2
A,강서구,범방동,구조,산악사고,0,664,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,범방동,구조,수난사고,3,664,0.375,False,False,False,False,0.0,2.4976076555023923,0.004518072289156626,1,0,0,0,2,2,0,0,3,3
A,강서구,범방동,구급,교통사고,61,664,0.43884892086330934,True,True,False,False,0.8829167449727494,0.6244019138755981,0.09186746987951808,14,15,17,10,5,30,35,26,24,24
A,강서구,봉림동,구급,심정지,10,613,0.5882352941176471,False,False,False,False,1.6677316293929714,0.6244019138755981,0.01631321370309951,0,2,3,2,3,0,2,7,2,6
A,강서구,봉림동,화재,일반화재(주택),20,613,0.6896551724137931,True,True,False,False,6.253993610223642,1.1100478468899522,0.03262642740619902,3,1,3,2,11,5,1,6,2,15
A,강서구,봉림동,구조,산악사고,0,613,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,봉림동,구조,수난사고,14,613,0.4375,False,False,False,False,0.9380990415335462,4.9952153110047846,0.022838499184339316,0,0,11,0,3,3,2,18,0,9
A,강서구,봉림동,구급,교통사고,42,613,0.4077669902912621,True,True,False,False,0.5003194888178913,0.4995215311004785,0.06851549755301795,9,5,10,13,5,22,10,23,28,20
A,강서구,생곡동,구급,심정지,6,668,1.0,False,False,False,False,0.8338658146964857,0.0,0.008982035928143712,0,1,3,2,0,0,1,3,2,0
A,강서구,생곡동,화재,일반화재(주택),4,668,1.0,False,False,False,False,2.5015974440894566,,0.005988023952095809,4,0,0,0,0,4,0,0,0,0
A,강서구,생곡동,구조,산악사고,0,668,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,생곡동,구조,수난사고,1,668,0.2,False,False,False,False,0.0,,0.0014970059880239522,0,1,0,0,0,3,2,0,0,0
A,강서구,생곡동,구급,교통사고,28,668,0.5283018867924528,True,True,False,False,1.1545834357335953,1.2488038277511961,0.041916167664670656,5,8,6,4,5,10,9,11,10,13
A,강서구,성북동,구급,심정지,8,602,0.5,True,True,False,False,0.0,0.0,0.013289036544850499,1,1,3,1,2,1,3,4,5,3
A,강서구,성북동,화재,일반화재(주택),2,602,1.0,False,False,False,False,0.0,,0.0033222591362126247,0,0,2,0,0,0,0,2,0,0
A,강서구,성북동,구조,산악사고,0,602,0.0,False,False,False,False,,,0.0,0,0,0,0,0,0,2,0,0,3
A,강서구,성북동,구조,수난사고,9,602,0.45,True,True,False,False,0.0,,0.014950166112956811,2,1,3,1,2,2,3,4,3,8
A,강서구,성북동,구급,교통사고,41,602,0.37962962962962965,True,True,False,False,0.652590637588554,1.2488038277511961,0.0681063122923588,14,6,9,7,5,32,14,22,17,23
A,강서구,송정동,구급,심정지,25,2622,0.5434782608695652,True,True,False,False,0.750479233226837,2.4976076555023923,0.009534706331045004,4,3,6,5,7,7,4,8,8,19
A,강서구,송정동,화재,일반화재(주택),23,2622,0.6052631578947368,True,False,False,False,0.29430558165758314,0.0,0.008771929824561403,5,4,10,4,0,9,6,15,4,4
A,강서구,송정동,구조,산악사고,3,2622,0.42857142857142855,False,False,False,False,,,0.0011441647597254005,0,0,0,2,1,0,0,0,2,5
A,강서구,송정동,구조,수난사고,6,2622,0.6,False,False,False,False,5.003194888178913,0.0,0.002288329519450801,3,0,0,3,0,7,0,0,3,0
A,강서구,송정동,구급,교통사고,220,2622,0.5104408352668214,True,True,True,False,0.8338658146964856,0.5297955632883862,0.08390541571319603,42,47,51,44,36,86,77,88,89,91
A,강서구,식만동,구급,심정지,6,167,0.6666666666666666,False,False,False,False,1.6677316293929714,0.0,0.03592814371257485,1,4,0,0,1,1,5,0,0,3
A,강서구,식만동,화재,일반화재(주택),7,167,0.2916666666666667,False,False,False,False,0.0,0.0,0.041916167664670656,0,0,2,5,0,0,5,2,16,1
A,강서구,식만동,구조,산악사고,0,167,,False,False,False,False,,,0.0,0,0,0,0,0,0,0,0,0,0
A,강서구,식만동,구조,수난사고,1,167,0.2,False,False,False,False,0.0,,0.005988023952095809,0,0,1,0,0,0,2,3,0,0
A,강서구,식만동,구급,교통사고,8,167,0.27586206896551724,True,False,False,False,10.006389776357826,1.2488038277511961,0.04790419161676647,0,2,3,1,2,3,4,8,5,9
A,강서구,신호동,구급,심정지,53,3086,0.6883116883116883,True,True,False,False,0.9529895025102693,1.7840054682159945,0.017174335709656513,10,12,7,14,10,12,17,10,21,17
