district,rawDong,subtype,candidateCode,candidateName,year,referenceDate,total,age12Plus,age65Plus,age12PlusShare,age65PlusShare,0–11세Count,0–11세Share,12–19세Count,12–19세Share,20–39세Count,20–39세Share,40–64세Count,40–64세Share,65–79세Count,65–79세Share,80세 이상Count,80세 이상Share
연제구,연산동,심정지,2647065000,연산제1동,2020,2020-12-31,16447,14969,3237,0.9101355870371496,0.1968140086337934,1478,0.08986441296285037,1006,0.06116617012221074,4030,0.245029488660546,6696,0.4071259196205995,2677,0.1627652459415091,560,0.03404876269228431
연제구,연산동,심정지,2647065000,연산제1동,2021,2021-12-31,16775,15275,3410,0.910581222056632,0.20327868852459016,1500,0.08941877794336811,1012,0.06032786885245902,3972,0.23678092399403874,6881,0.410193740685544,2799,0.16685543964232488,611,0.03642324888226527
연제구,연산동,심정지,2647065000,연산제1동,2022,2022-12-31,16478,15068,3580,0.9144313630294939,0.21725937613788082,1410,0.08556863697050612,1031,0.06256827284864667,3753,0.2277582230853259,6704,0.4068454909576405,2909,0.17653841485617186,671,0.04072096128170895
연제구,연산동,심정지,2647065000,연산제1동,2023,2023-12-31,16130,14825,3775,0.9190948543087415,0.23403595784252945,1305,0.08090514569125852,1004,0.062244265344079355,3501,0.21704897706137632,6545,0.4057656540607564,3067,0.19014259144451334,708,0.043893366398016116
연제구,연산동,심정지,2647065000,연산제1동,2024,2024-12-31,15704,14546,3926,0.9262608252674478,0.25,1158,0.07373917473255222,977,0.062213448802852775,3377,0.2150407539480387,6266,0.3990066225165563,3178,0.2023688232297504,748,0.04763117677024962
연제구,연산동,심정지,2647066000,연산제2동,2020,2020-12-31,20934,18717,3655,0.8940957294353683,0.17459635043469954,2217,0.1059042705646317,1066,0.050921945160982134,6229,0.29755421801853443,7767,0.3710232158211522,2916,0.13929492691315562,739,0.0353014235215439
연제구,연산동,심정지,2647066000,연산제2동,2021,2021-12-31,20674,18432,3877,0.8915546096546387,0.18753023120828094,2242,0.10844539034536133,973,0.04706394505175583,5777,0.27943310438231594,7805,0.377527329012286,3063,0.14815710554319436,814,0.039373125665086585
연제구,연산동,심정지,2647066000,연산제2동,2022,2022-12-31,19941,17830,3892,0.8941377062333885,0.1951757685171255,2111,0.1058622937666115,997,0.04999749260317938,5291,0.2653327315580964,7650,0.3836317135549872,3044,0.15265031843939622,848,0.0425254500777293
연제구,연산동,심정지,2647066000,연산제2동,2023,2023-12-31,21719,19580,4243,0.901514802707307,0.19535890234357015,2139,0.09848519729269303,991,0.045628251761130806,6467,0.29775772365210185,7879,0.36276992495050414,3300,0.15194069708550118,943,0.04341820525806897
연제구,연산동,심정지,2647066000,연산제2동,2024,2024-12-31,21731,19677,4402,0.9054806497630113,0.20256776034236804,2054,0.09451935023698864,971,0.04468271133403893,6470,0.29773135152547053,7834,0.36049882656113386,3406,0.15673461874741154,996,0.045833141594956515
연제구,연산동,심정지,2647067000,연산제3동,2020,2020-12-31,7419,7149,2160,0.9636069551152446,0.29114435907804287,270,0.03639304488475536,332,0.04474996630273622,1538,0.20730556678797682,3119,0.4204070629464887,1754,0.2364200026957811,406,0.05472435638226176
연제구,연산동,심정지,2647067000,연산제3동,2021,2021-12-31,9160,8573,2335,0.9359170305676856,0.2549126637554585,587,0.06408296943231441,418,0.045633187772925764,2151,0.23482532751091703,3669,0.4005458515283843,1896,0.20698689956331878,439,0.04792576419213974
연제구,연산동,심정지,2647067000,연산제3동,2022,2022-12-31,10914,9996,2567,0.9158878504672897,0.235202492211838,918,0.08411214953271028,460,0.04214770020157596,2712,0.24848818031885653,4257,0.39004947773501925,2058,0.188565145684442,509,0.046637346527396005
연제구,연산동,심정지,2647067000,연산제3동,2023,2023-12-31,10533,9649,2641,0.9160732934586537,0.250735782777936,884,0.08392670654134625,423,0.04015949871831387,2495,0.23687458463875438,4090,0.3883034273236495,2115,0.20079749359156934,526,0.049938289186366655
연제구,연산동,심정지,2647067000,연산제3동,2024,2024-12-31,10252,9405,2744,0.9173819742489271,0.26765509168942647,847,0.08261802575107297,406,0.03960202887241514,2335,0.2277604369879048,3920,0.38236441669918064,2168,0.21147093250097543,576,0.05618415918845104
연제구,연산동,심정지,2647068000,연산제4동,2020,2020-12-31,16808,15923,3891,0.9473465016658734,0.23149690623512614,885,0.05265349833412661,738,0.04390766301761066,4440,0.26415992384578774,6854,0.40778200856734886,3172,0.18871965730604473,719,0.04277724892908139
연제구,연산동,심정지,2647068000,연산제4동,2021,2021-12-31,16154,15349,3959,0.9501671412653213,0.24507861829887334,805,0.049832858734678714,709,0.043890058189922,4176,0.25851182369691716,6505,0.4026866410796088,3205,0.19840287235359663,754,0.04667574594527671
연제구,연산동,심정지,2647068000,연산제4동,2022,2022-12-31,15844,15129,4134,0.9548725069426912,0.26091895985862157,715,0.04512749305730876,691,0.043612724059580915,4028,0.25422873011865693,6276,0.3961120929058319,3297,0.20809139106286292,837,0.052827568795758645
연제구,연산동,심정지,2647068000,연산제4동,2023,2023-12-31,15491,14837,4269,0.9577819378994255,0.27557936866567684,654,0.04221806210057453,679,0.043831902394939,3858,0.24904783422632495,6031,0.3893228326124847,3396,0.21922406558646956,873,0.05635530307920728
연제구,연산동,심정지,2647068000,연산제4동,2024,2024-12-31,16340,15615,4590,0.9556303549571603,0.28090575275397794,725,0.044369645042839655,755,0.04620563035495716,4086,0.2500611995104039,6184,0.3784577723378213,3637,0.2225826193390453,953,0.05832313341493268
연제구,연산동,심정지,2647069000,연산제5동,2020,2020-12-31,16537,15650,2586,0.9463627018201608,0.1563766100260023,887,0.05363729817983915,576,0.03483098506379634,6579,0.39783515752554877,5909,0.35731994920481347,2108,0.12747173005986576,478,0.028904879966136544
연제구,연산동,심정지,2647069000,연산제5동,2021,2021-12-31,16588,15733,2742,0.948456715698095,0.16530021702435496,855,0.05154328430190499,514,0.03098625512418616,6552,0.3949843260188088,5925,0.35718591753074513,2217,0.133650831926694,525,0.03164938509766096
연제구,연산동,심정지,2647069000,연산제5동,2022,2022-12-31,16331,15556,2880,0.9525442410140225,0.17635172371563285,775,0.04745575898597759,508,0.031106484599840795,6384,0.3909129875696528,5784,0.35417304512889597,2298,0.1407139795480987,582,0.03563774416753414
연제구,연산동,심정지,2647069000,연산제5동,2023,2023-12-31,16697,15960,3083,0.955860334191771,0.1846439480146134,737,0.04413966580822902,479,0.02868778822542972,6512,0.3900101814697251,5886,0.35251841648200277,2411,0.1443971971012757,672,0.04024675091333772
연제구,연산동,심정지,2647069000,연산제5동,2024,2024-12-31,16782,16094,3253,0.9590036944345132,0.19383863663448933,688,0.04099630556548683,487,0.029019187224407102,6547,0.3901203670599452,5807,0.3460255035156716,2557,0.15236562984149685,696,0.04147300679299249
연제구,연산동,심정지,2647070000,연산제6동,2020,2020-12-31,17101,15863,4144,0.9276065727150459,0.24232501023331968,1238,0.0723934272849541,842,0.04923688673177007,4261,0.2491667153967604,6616,0.3868779603531957,3294,0.1926203146014853,850,0.0497046956318344
연제구,연산동,심정지,2647070000,연산제6동,2021,2021-12-31,16699,15506,4253,0.9285585963231331,0.25468590933588836,1193,0.07144140367686688,798,0.04778729265225463,4022,0.24085274567339363,6433,0.3852326486615965,3320,0.19881430025750044,933,0.05587160907838793
연제구,연산동,심정지,2647070000,연산제6동,2022,2022-12-31,16304,15193,4391,0.9318572129538764,0.26932041216879293,1111,0.06814278704612366,787,0.04827036310107949,3738,0.22926889106967616,6277,0.3849975466143278,3405,0.20884445534838075,986,0.060475956820412166
연제구,연산동,심정지,2647070000,연산제6동,2023,2023-12-31,15627,14604,4506,0.934536379343444,0.2883470915722787,1023,0.06546362065655596,739,0.04728994688679849,3437,0.21993984769949446,5922,0.3789594931848723,3453,0.22096371664426953,1053,0.06738337492800922
