snapshot,fieldStudyArea,district,rawDong,lawDongCode,shops,foodShops,retailShops,foodRetailSharePct,interpretation
20240331,부전시장,부산진구,부전동,2623010300,6543,2157,2040,64.14488766620816,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240331,못골시장,남구,대연동,2629010600,4524,1717,859,56.94076038903625,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240331,광안역 주변,수영구,광안동,2650010400,3347,1303,639,58.0221093516582,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240331,신평역 주변,사하구,신평동,2638010400,1117,400,250,58.19158460161146,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240630,부전시장,부산진구,부전동,2623010300,6403,2122,1987,64.1730438856786,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240630,못골시장,남구,대연동,2629010600,4447,1666,851,56.59995502586013,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240630,광안역 주변,수영구,광안동,2650010400,3314,1276,626,57.39287869643935,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240630,신평역 주변,사하구,신평동,2638010400,1114,389,246,57.001795332136446,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240930,부전시장,부산진구,부전동,2623010300,6216,2030,1949,64.01222651222652,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240930,못골시장,남구,대연동,2629010600,4314,1594,828,56.14279091330552,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240930,광안역 주변,수영구,광안동,2650010400,3203,1215,613,57.071495472994066,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20240930,신평역 주변,사하구,신평동,2638010400,1081,374,239,56.70675300647549,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20241231,부전시장,부산진구,부전동,2623010300,7064,2317,2162,63.40600226500566,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20241231,못골시장,남구,대연동,2629010600,4826,1797,886,55.594695399917114,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20241231,광안역 주변,수영구,광안동,2650010400,3714,1394,706,56.54281098546042,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
20241231,신평역 주변,사하구,신평동,2638010400,1188,416,267,57.49158249158249,동 전체 등록업소 구성. 해당 시장·역 조사구간의 업소·이용자 수가 아니며 119 접수 위치와 결합하지 않음.
