sgisCode,district,name,level,total,housingTypesPublishedSum,otherLivingQuarters,missingHousingTypeCells,constructionPublishedSum,missingConstructionCells,housingTypesDifference
21,부산광역시,부산광역시,city,1227697.0,1227697.0,109459.0,0,1227697.0,0,0.0
21010,중구,중구,district,14200.0,14200.0,4118.0,0,14200.0,0,0.0
21010510,중구,중앙동,dong,510.0,510.0,1662.0,0,504.0,4,0.0
21010520,중구,동광동,dong,937.0,937.0,48.0,0,934.0,3,0.0
21010530,중구,대청동,dong,2386.0,2386.0,349.0,0,2380.0,2,0.0
21010540,중구,보수동,dong,4014.0,4014.0,998.0,0,4013.0,1,0.0
21010560,중구,부평동,dong,1463.0,1463.0,324.0,0,1458.0,4,0.0
21010570,중구,광복동,dong,322.0,318.0,53.0,1,314.0,4,-4.0
21010580,중구,남포동,dong,227.0,227.0,105.0,0,220.0,5,0.0
21010590,중구,영주1동,dong,1703.0,1703.0,502.0,0,1701.0,2,0.0
21010600,중구,영주2동,dong,2638.0,2638.0,77.0,0,2630.0,5,0.0
21020,서구,서구,district,40213.0,40213.0,3458.0,0,40213.0,0,0.0
21020510,서구,동대신1동,dong,2025.0,2025.0,128.0,0,2023.0,2,0.0
21020520,서구,동대신2동,dong,2527.0,2527.0,127.0,0,2519.0,4,0.0
21020530,서구,동대신3동,dong,2848.0,2848.0,217.0,0,2847.0,1,0.0
21020540,서구,서대신1동,dong,5512.0,5512.0,524.0,0,5512.0,0,0.0
21020560,서구,서대신3동,dong,2682.0,2682.0,141.0,0,2680.0,2,0.0
21020570,서구,서대신4동,dong,2633.0,2633.0,18.0,0,2619.0,7,0.0
21020590,서구,부민동,dong,2838.0,2838.0,742.0,0,2834.0,1,0.0
21020610,서구,아미동,dong,2873.0,2873.0,143.0,0,2861.0,7,0.0
21020630,서구,초장동,dong,1440.0,1440.0,11.0,0,1428.0,4,0.0
21020640,서구,충무동,dong,3576.0,3576.0,787.0,0,3569.0,3,0.0
21020650,서구,남부민1동,dong,1711.0,1711.0,124.0,0,1711.0,0,0.0
21020680,서구,암남동,dong,6365.0,6365.0,429.0,0,6360.0,2,0.0
21020690,서구,남부민2동,dong,3183.0,3183.0,67.0,0,3170.0,9,0.0
21030,동구,동구,district,31516.0,31516.0,5240.0,0,31514.0,1,0.0
21030510,동구,초량1동,dong,1690.0,1690.0,908.0,0,1686.0,3,0.0
21030520,동구,초량2동,dong,1814.0,1814.0,402.0,0,1809.0,3,0.0
21030530,동구,초량3동,dong,4223.0,4223.0,1529.0,0,4220.0,2,0.0
21030550,동구,초량6동,dong,1943.0,1943.0,17.0,0,1941.0,2,0.0
21030560,동구,수정1동,dong,1506.0,1506.0,101.0,0,1495.0,5,0.0
21030570,동구,수정2동,dong,3390.0,3390.0,220.0,0,3389.0,1,0.0
21030590,동구,수정4동,dong,1541.0,1541.0,12.0,0,1536.0,4,0.0
21030600,동구,수정5동,dong,1716.0,1716.0,20.0,0,1712.0,4,0.0
21030660,동구,범일2동,dong,1954.0,1954.0,1276.0,0,1951.0,2,0.0
21030680,동구,범일5동,dong,3651.0,3651.0,136.0,0,3648.0,1,0.0
21030700,동구,좌천동,dong,4186.0,4186.0,323.0,0,4182.0,2,0.0
21030710,동구,범일1동,dong,3902.0,3902.0,296.0,0,3892.0,4,0.0
21040,영도구,영도구,district,42662.0,42662.0,1715.0,0,42662.0,0,0.0
21040530,영도구,남항동,dong,3768.0,3768.0,549.0,0,3762.0,4,0.0
21040540,영도구,영선1동,dong,1187.0,1187.0,140.0,0,1178.0,5,0.0
21040550,영도구,영선2동,dong,2654.0,2654.0,211.0,0,2645.0,6,0.0
