CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,stage,channel,period,count,weekendCount,weekdayCount,weekendDays,weekdayDays,weekendRatio,dayShare,priorStable
강서구,강동동,구급,교통사고,A,complete17,all,2020–2024,144,24,120,522,1305,0.5,0.7708333333333334,True
강서구,강동동,구급,교통사고,A,complete17,all,2020,26,3,23,104,262,0.32859531772575257,0.7692307692307693,True
강서구,강동동,구급,교통사고,A,complete17,all,2021,21,3,18,104,261,0.4182692307692308,0.8095238095238095,True
강서구,강동동,구급,교통사고,A,complete17,all,2022,28,3,25,105,260,0.2971428571428571,0.6071428571428571,True
강서구,강동동,구급,교통사고,A,complete17,all,2023,34,9,25,105,260,0.8914285714285713,0.7941176470588235,True
강서구,강동동,구급,교통사고,A,complete17,all,2024,35,6,29,104,262,0.5212201591511937,0.8571428571428571,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2020–2024,144,24,120,522,1305,0.5,0.7708333333333334,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2020,26,3,23,104,262,0.32859531772575257,0.7692307692307693,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2021,21,3,18,104,261,0.4182692307692308,0.8095238095238095,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2022,28,3,25,105,260,0.2971428571428571,0.6071428571428571,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2023,34,9,25,105,260,0.8914285714285713,0.7941176470588235,True
강서구,강동동,구급,교통사고,A,complete17,mobile,2024,35,6,29,104,262,0.5212201591511937,0.8571428571428571,True
강서구,강동동,구급,교통사고,A,core8,all,2020–2024,238,47,191,522,1305,0.6151832460732984,0.7563025210084033,True
강서구,강동동,구급,교통사고,A,core8,all,2020,46,4,42,104,262,0.23992673992673996,0.717391304347826,True
강서구,강동동,구급,교통사고,A,core8,all,2021,33,5,28,104,261,0.4481456043956044,0.7878787878787878,True
강서구,강동동,구급,교통사고,A,core8,all,2022,42,12,30,105,260,0.9904761904761904,0.6428571428571429,True
강서구,강동동,구급,교통사고,A,core8,all,2023,55,12,43,105,260,0.6910299003322259,0.7272727272727273,True
강서구,강동동,구급,교통사고,A,core8,all,2024,62,14,48,104,262,0.734775641025641,0.8709677419354839,True
강서구,강동동,구급,교통사고,A,core8,mobile,2020–2024,148,24,124,522,1305,0.4838709677419355,0.777027027027027,True
강서구,강동동,구급,교통사고,A,core8,mobile,2020,29,3,26,104,262,0.2906804733727811,0.7931034482758621,True
강서구,강동동,구급,교통사고,A,core8,mobile,2021,21,3,18,104,261,0.4182692307692308,0.8095238095238095,True
강서구,강동동,구급,교통사고,A,core8,mobile,2022,28,3,25,105,260,0.2971428571428571,0.6071428571428571,True
강서구,강동동,구급,교통사고,A,core8,mobile,2023,35,9,26,105,260,0.8571428571428571,0.8,True
강서구,강동동,구급,교통사고,A,core8,mobile,2024,35,6,29,104,262,0.5212201591511937,0.8571428571428571,True
강서구,강동동,구급,교통사고,B,complete17,all,2020–2024,117,22,95,522,1305,0.5789473684210527,0.7948717948717948,True
강서구,강동동,구급,교통사고,B,complete17,all,2020,21,3,18,104,262,0.4198717948717949,0.8095238095238095,True
강서구,강동동,구급,교통사고,B,complete17,all,2021,20,3,17,104,261,0.44287330316742085,0.85,True
강서구,강동동,구급,교통사고,B,complete17,all,2022,21,3,18,105,260,0.4126984126984127,0.7142857142857143,True
강서구,강동동,구급,교통사고,B,complete17,all,2023,28,7,21,105,260,0.8253968253968254,0.7857142857142857,True
강서구,강동동,구급,교통사고,B,complete17,all,2024,27,6,21,104,262,0.7197802197802199,0.8148148148148148,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2020–2024,117,22,95,522,1305,0.5789473684210527,0.7948717948717948,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2020,21,3,18,104,262,0.4198717948717949,0.8095238095238095,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2021,20,3,17,104,261,0.44287330316742085,0.85,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2022,21,3,18,105,260,0.4126984126984127,0.7142857142857143,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2023,28,7,21,105,260,0.8253968253968254,0.7857142857142857,True
강서구,강동동,구급,교통사고,B,complete17,mobile,2024,27,6,21,104,262,0.7197802197802199,0.8148148148148148,True
강서구,강동동,구급,교통사고,B,core8,all,2020–2024,180,35,145,522,1305,0.603448275862069,0.7722222222222223,True
강서구,강동동,구급,교통사고,B,core8,all,2020,34,3,31,104,262,0.24379652605459057,0.7647058823529411,True
강서구,강동동,구급,교통사고,B,core8,all,2021,30,5,25,104,261,0.5019230769230769,0.8,True
강서구,강동동,구급,교통사고,B,core8,all,2022,31,8,23,105,260,0.8612836438923396,0.7419354838709677,True
강서구,강동동,구급,교통사고,B,core8,all,2023,44,10,34,105,260,0.7282913165266106,0.7272727272727273,True
강서구,강동동,구급,교통사고,B,core8,all,2024,41,9,32,104,262,0.7085336538461539,0.8292682926829268,True
강서구,강동동,구급,교통사고,B,core8,mobile,2020–2024,121,22,99,522,1305,0.5555555555555556,0.8016528925619835,True
강서구,강동동,구급,교통사고,B,core8,mobile,2020,24,3,21,104,262,0.35989010989010994,0.8333333333333334,True
