caseId,scope,year,weekday,hour,count
action-1,A,2020,0,10,1
action-1,A,2020,0,11,1
action-1,A,2020,0,12,1
action-1,A,2020,0,17,3
action-1,A,2020,0,18,1
action-1,A,2020,1,7,1
action-1,A,2020,1,8,2
action-1,A,2020,1,9,3
action-1,A,2020,1,13,2
action-1,A,2020,1,15,1
action-1,A,2020,1,19,1
action-1,A,2020,1,21,1
action-1,A,2020,2,2,1
action-1,A,2020,2,9,1
action-1,A,2020,2,11,1
action-1,A,2020,2,12,1
action-1,A,2020,2,13,1
action-1,A,2020,2,14,1
action-1,A,2020,2,15,1
action-1,A,2020,2,16,2
action-1,A,2020,2,17,2
action-1,A,2020,2,18,1
action-1,A,2020,2,19,1
action-1,A,2020,3,2,1
action-1,A,2020,3,3,1
action-1,A,2020,3,7,1
action-1,A,2020,3,8,1
action-1,A,2020,3,13,1
action-1,A,2020,3,16,1
action-1,A,2020,3,18,1
action-1,A,2020,3,19,2
action-1,A,2020,4,2,1
action-1,A,2020,4,4,2
action-1,A,2020,4,5,3
action-1,A,2020,4,11,1
action-1,A,2020,4,12,2
action-1,A,2020,4,14,1
action-1,A,2020,4,15,1
action-1,A,2020,4,17,2
action-1,A,2020,4,18,1
action-1,A,2020,4,19,1
action-1,A,2020,4,23,2
action-1,A,2020,5,5,1
action-1,A,2020,5,8,1
action-1,A,2020,5,9,3
action-1,A,2020,5,10,1
action-1,A,2020,5,11,3
action-1,A,2020,5,12,1
action-1,A,2020,5,13,1
action-1,A,2020,5,14,1
action-1,A,2020,5,16,1
action-1,A,2020,5,18,1
action-1,A,2020,5,19,1
action-1,A,2020,6,1,1
action-1,A,2020,6,6,1
action-1,A,2020,6,7,2
action-1,A,2020,6,10,1
action-1,A,2020,6,12,2
action-1,A,2020,6,14,1
action-1,A,2020,6,16,1
action-1,A,2020,6,17,1
action-1,A,2020,6,18,1
action-1,A,2020,6,21,2
action-1,A,2021,0,6,3
action-1,A,2021,0,7,1
action-1,A,2021,0,8,1
action-1,A,2021,0,10,4
action-1,A,2021,0,16,2
action-1,A,2021,0,17,2
action-1,A,2021,0,19,1
action-1,A,2021,1,6,1
action-1,A,2021,1,7,3
action-1,A,2021,1,9,2
action-1,A,2021,1,12,2
action-1,A,2021,1,19,2
action-1,A,2021,1,20,1
action-1,A,2021,1,21,1
action-1,A,2021,2,3,1
action-1,A,2021,2,6,2
action-1,A,2021,2,8,2
action-1,A,2021,2,9,1
action-1,A,2021,2,10,1
action-1,A,2021,2,11,1
action-1,A,2021,2,13,3
action-1,A,2021,2,15,2
action-1,A,2021,2,16,2
action-1,A,2021,2,17,1
action-1,A,2021,2,18,4
action-1,A,2021,2,19,1
action-1,A,2021,3,3,1
action-1,A,2021,3,6,1
action-1,A,2021,3,7,1
action-1,A,2021,3,10,1
action-1,A,2021,3,11,1
action-1,A,2021,3,12,1
action-1,A,2021,3,14,1
action-1,A,2021,3,15,1
action-1,A,2021,3,17,1
action-1,A,2021,3,20,1
action-1,A,2021,4,0,1
action-1,A,2021,4,5,2
action-1,A,2021,4,8,1
action-1,A,2021,4,10,3
action-1,A,2021,4,11,2
action-1,A,2021,4,12,2
action-1,A,2021,4,14,1
action-1,A,2021,4,15,1
action-1,A,2021,4,16,1
action-1,A,2021,4,17,1
action-1,A,2021,4,19,2
action-1,A,2021,4,20,1
action-1,A,2021,4,21,2
action-1,A,2021,4,23,1
action-1,A,2021,5,2,1
action-1,A,2021,5,3,1
action-1,A,2021,5,6,1
action-1,A,2021,5,8,1
action-1,A,2021,5,10,2
action-1,A,2021,5,11,2
action-1,A,2021,5,13,1
action-1,A,2021,5,15,1
action-1,A,2021,5,17,2
action-1,A,2021,5,18,1
action-1,A,2021,5,19,1
action-1,A,2021,5,20,1
action-1,A,2021,5,21,2
action-1,A,2021,5,22,2
action-1,A,2021,6,2,2
action-1,A,2021,6,6,2
action-1,A,2021,6,7,2
action-1,A,2021,6,9,2
action-1,A,2021,6,12,2
action-1,A,2021,6,14,1
action-1,A,2021,6,16,3
