district,rawDong,type,subtype,countC,reason
남구,용호동,구급,심정지,276,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,다대동,구급,심정지,267,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,대연동,구급,심정지,256,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,괴정동,구급,심정지,254,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,온천동,구급,심정지,253,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,동삼동,구급,심정지,239,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,반여동,구급,심정지,239,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,금곡동,구급,심정지,232,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,반송동,구급,심정지,232,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,좌동,구급,심정지,225,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
수영구,광안동,구급,심정지,223,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,구포동,구급,심정지,222,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,개금동,구급,심정지,208,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
연제구,거제동,구급,심정지,197,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,우동,구급,심정지,196,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,모라동,구급,심정지,175,결측 제외 전후 변화 방향 민감
남구,문현동,구급,심정지,174,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,부곡동,구급,심정지,171,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,당감동,구급,심정지,169,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,만덕동,구급,심정지,164,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,화명동,구급,심정지,162,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,덕천동,구급,심정지,152,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,구서동,구급,심정지,147,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,재송동,구급,심정지,147,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,중동,구급,심정지,147,결측 제외 전후 변화 방향 민감
사상구,괘법동,구급,심정지,143,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,장림동,구급,심정지,143,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,초량동,구급,심정지,142,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,주례동,구급,심정지,142,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,하단동,구급,심정지,141,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,안락동,구급,심정지,140,결측 제외 전후 변화 방향 민감
수영구,망미동,구급,심정지,139,결측 제외 전후 변화 방향 민감
금정구,남산동,구급,심정지,136,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,수정동,구급,심정지,133,결측 제외 전후 변화 방향 민감
부산진구,가야동,구급,심정지,133,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,범천동,구급,심정지,133,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,전포동,구급,심정지,133,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,부암동,구급,심정지,129,결측 제외 전후 변화 방향 민감
동래구,사직동,구급,심정지,128,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,장전동,구급,심정지,126,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,학장동,구급,심정지,123,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,서동,구급,심정지,118,결측 제외 전후 변화 방향 민감
부산진구,초읍동,구급,심정지,117,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,범일동,구급,심정지,114,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
수영구,민락동,구급,심정지,114,결측 제외 전후 변화 방향 민감
동래구,명장동,구급,심정지,109,결측 제외 전후 변화 방향 민감
사하구,신평동,구급,심정지,106,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,청학동,구급,심정지,104,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,감천동,구급,심정지,103,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,당리동,구급,심정지,102,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,부전동,구급,심정지,99,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,남부민동,구급,심정지,93,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,감전동,구급,심정지,92,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,양정동,구급,심정지,91,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,엄궁동,구급,심정지,89,결측 제외 전후 변화 방향 민감
동구,좌천동,구급,심정지,87,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
