scope,region,year,count,withinCurrentSummerWindow,outsideCurrentSummerWindow,julyAugustCount,withinWindowCalendarDays,outsideWindowCalendarDays,withinPerCalendarDay,outsidePerCalendarDay,comparisonStatus
A,부산,all,1681,420,1261,441,290,1537,1.4482758620689655,0.8204294079375407,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,부산,2020,292,64,228,68,58,308,1.103448275862069,0.7402597402597403,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,부산,2021,354,75,279,76,58,307,1.293103448275862,0.9087947882736156,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,부산,2022,337,89,248,101,58,307,1.5344827586206897,0.8078175895765473,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,부산,2023,407,122,285,123,58,307,2.103448275862069,0.9283387622149837,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,부산,2024,291,70,221,73,58,308,1.206896551724138,0.7175324675324676,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|강동동,all,11,1,10,1,290,1537,0.0034482758620689655,0.006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|강동동,2020,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|강동동,2021,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|강동동,2022,6,1,5,1,58,307,0.017241379310344827,0.016286644951140065,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
